은행id,은행,지점명,주소,위도,경도,구군,읍면동,지번주소
99,국민은행,KB국민은행중부산종합금융센터,부산부산진구새싹로11,35.158948625941,129.057801064802,부산부산진구,부전동,부산 부산진구 부전동 397-50
100,국민은행,KB국민은행서면중앙,부산부산진구새싹로2,35.1585653536746,129.059036858976,부산부산진구,부전동,부산 부산진구 부전동 260-5
101,국민은행,KB국민은행부산상수도본부(점),부산부산진구중앙대로955,35.1751646571355,129.0723526188,부산부산진구,양정동,부산 부산진구 양정동 273-20
102,국민은행,KB국민은행금곡동(점),부산북구금곡대로616번길55,35.2630199544529,129.016252248973,부산북구,금곡동,부산 북구 금곡동 94-1
103,국민은행,국민은행덕천동지점,부산북구만덕대로24,35.2105194376805,129.007839921531,부산북구,덕천동,부산 북구 덕천동 401-4
104,국민은행,KB국민은행화명동,부산북구화명대로35,35.2351558150068,129.011994763317,부산북구,화명동,부산 북구 화명동 2272-6
105,국민은행,KB국민은행사상종합금융센터,부산사상구괘감로37,35.1597634121468,128.980446072173,부산사상구,괘법동,부산 사상구 괘법동 578
106,국민은행,KB국민은행엄궁동,부산사상구낙동대로751,35.1284442873882,128.969472664467,부산사상구,부산사상구낙동,부산 사상구 엄궁동 376-1
107,국민은행,KB국민은행당리동,부산사하구낙동대로388,35.1029839124063,128.976122531781,부산사하구,부산사하구낙동,부산 사하구 당리동 321-1
108,국민은행,KB국민은행괴정역,부산사하구사하로195,35.0990217883447,128.993268725496,부산사하구,괴정동,부산 사하구 괴정동 964-5
109,국민은행,KB국민은행서부산종합금융센터,부산사하구장림번영로13,35.0816457951473,128.967135420155,부산사하구,장림동,부산 사하구 장림동 328-31
110,국민은행,KB국민은행동대신동(점),부산서구구덕로300-1,35.1108364907691,129.017759211444,부산서구구,동대신동,부산 서구 동대신동2가 378-2
111,국민은행,KB국민은행자갈치역,부산서구보수대로15,35.0983173119369,129.024461689782,부산서구,토성동,부산 서구 토성동1가 51-1
112,국민은행,KB국민은행광안동,부산수영구광안로4,35.1569291161338,129.113373745945,부산수영구,광안동,부산 수영구 광안동 473-2
113,국민은행,KB국민은행남천동,부산수영구남천동로104,35.1455075608582,129.111998742185,부산수영구,부산수영구남천동,부산 수영구 남천동 6-12
114,국민은행,KB국민은행토곡,부산연제구과정로190,35.1882239257604,129.106463955669,부산연제구,연산동,부산 연제구 연산동 419-4
115,국민은행,KB국민은행부산시청,부산연제구중앙대로1001,35.1792861474813,129.075953085264,부산연제구,연산동,부산 연제구 연산동 1000
116,국민은행,KB국민은행연산동종합금융센터,부산연제구중앙대로1089,35.1851670228522,129.08052409497,부산연제구,연산동,부산 연제구 연산동 1287-2
117,국민은행,KB국민은행영도,부산영도구태종로110,35.0907699318808,129.042671715391,부산영도구,영선동,부산 영도구 영선동1가 24-5
118,국민은행,KB국민은행광복동,부산중구광복로45,35.0994494857803,129.02999315512,부산중구,창선동,부산 중구 창선동1가 15
119,국민은행,KB국민은행부산종합금융센터,부산중구중앙대로49,35.1021582239154,129.036128703469,부산중구,중앙동,부산 중구 중앙동2가 15-1
120,국민은행,KB국민은행마린시티,부산해운대구마린시티3로1,35.1578598537214,129.147548677339,부산해운대구,우동,부산 해운대구 우동 1434
121,국민은행,KB국민은행해운대PB센터,부산해운대구마린시티3로51,35.1543221857922,129.145705578696,부산해운대구,우동,부산 해운대구 우동 1436-1
122,국민은행,KB국민은행반여동(점),부산해운대구선수촌로102-2,35.2027676285071,129.11962239088,부산해운대구,반여동,부산 해운대구 반여동 1206-13
123,국민은행,KB국민은행장산역,부산해운대구세실로45,35.1689922949142,129.178287423157,부산해운대구,좌동,부산 해운대구 좌동 1484-1
124,국민은행,KB국민은행센텀시티종합금융센터,부산해운대구센텀동로25,35.1717201905298,129.131851750511,부산해운대구,부산해운대구센텀동,부산 해운대구 우동 1488
125,국민은행,KB국민은행해운대,부산해운대구해운대로632,35.1638984786854,129.159806991326,부산해운대구,우동,부산 해운대구 우동 602-5
126,농협은행,NH농협은행부산강서지점,부산강서구대저로282,35.212194145907,128.982674334594,부산강서구,,부산 강서구 대저1동 2339-1
127,농협은행,NH농협은행부산대학교지점,부산금정구부산대학로63번길2,35.2329216361282,129.080320859271,부산금정구,장전동,부산 금정구 장전동 40
128,농협은행,NH농협은행서동지점,부산금정구서동로149,35.2150178544998,129.10293415334,부산금정구,부산금정구서동,부산 금정구 서동 194-53
129,농협은행,NH농협은행구서동지점,부산금정구중앙대로1935,35.2571835112218,129.091069224364,부산금정구,구서동,부산 금정구 구서동 175-27
130,농협은행,NH농협은행기장군지부,부산기장군기장읍차성남로52,35.2410375332046,129.213699757553,부산기장군,부산기장군기장읍,부산 기장군 기장읍 대라리 128-1
131,농협은행,NH농협은행대연동지점,부산남구수영로306,35.136897680834,129.099832009041,부산남구,대연동,부산 남구 대연동 72-1
132,농협은행,NH농협은행수정동지점,부산동구고관로104,35.1280822534902,129.04613063135,부산동구,부산동,부산 동구 수정동 163
133,농협은행,NH농협은행부산진지점,부산동구부산진성공원로4,35.1368883025324,129.059965085669,부산동구,부산동,부산 동구 범일동 320-1
134,농협은행,NH농협은행동래지점,부산동래구명륜로112번길64,35.2028560541196,129.086266121583,부산동래구,부산동,부산 동래구 수안동 421-2
135,농협은행,NH농협은행명장동지점,부산동래구명장로20번길90,35.2022590973045,129.100409281784,부산동래구,부산동,부산 동래구 명장동 63-9
136,농협은행,NH농협은행사직동지점,부산동래구사직로70번길50,35.1974756296488,129.057764843874,부산동래구,부산동,부산 동래구 사직동 42-1
137,농협은행,NH농협은행충렬지점,부산동래구안락로132,35.1988122168898,129.111234171236,부산동래구,부산동,부산 동래구 안락동 469-27
138,농협은행,NH농협은행온천동지점,부산동래구충렬대로107번길65,35.2096430695345,129.072919071904,부산동래구,부산동,부산 동래구 온천동 1853
139,농협은행,NH농협은행가야동지점,부산부산진구가야대로597,35.155135598846,129.037398935994,부산부산진구,가야동,부산 부산진구 가야동 56-2
140,농협은행,NH농협은행서면중앙금융센터,부산부산진구서면로68번길3,35.1568315882614,129.058184451277,부산부산진구,부산부산진구서면,부산 부산진구 부전동 257-50
141,농협은행,NH농협은행전포동지점,부산부산진구서전로41,35.1579742444339,129.064380095377,부산부산진구,전포동,부산 부산진구 전포동 666-7
142,농협은행,NH농협은행부산영업부,부산부산진구중앙대로783번길14,35.1625409676225,129.062232761045,부산부산진구,부전동,부산 부산진구 부전동 53
143,농협은행,NH농협은행범일동지점,부산부산진구중앙번영로14,35.1447436641186,129.060658983192,부산부산진구,범천동,부산 부산진구 범천동 844-50
144,농협은행,NH농협은행부산시청지점,부산부산진구진연로15,35.1787621091248,129.073561297511,부산부산진구,양정동,부산 부산진구 양정동 157-1
145,농협은행,NH농협은행구포지점,부산북구만덕대로33,35.2111832521564,129.008566698831,부산북구,덕천동,부산 북구 덕천동 382-8
146,농협은행,NH농협은행주례동지점,부산사상구가야대로272-1,35.1500963369797,129.002433616079,부산사상구,주례동,부산 사상구 주례동 1162-172
147,농협은행,NH농협은행엄궁시장지점,부산사상구농산물시장로9,35.1280232196496,128.963989971341,부산사상구,엄궁동,부산 사상구 엄궁동 650
148,농협은행,NH농협은행모라동지점,부산사상구백양대로913,35.1877576666029,128.990601969656,부산사상구,모라동,부산 사상구 모라동 1358-7
149,농협은행,NH농협은행사상지점,부산사상구사상로250번길3,35.1671631437907,128.982583373474,부산사상구,괘법동,부산 사상구 괘법동 835-6
150,농협은행,NH농협은행사상중앙금융센터,부산사상구새벽로147,35.1544601055277,128.982531799952,부산사상구,감전동,부산 사상구 감전동 143-10
151,농협은행,NH농협은행하단동지점,부산사하구낙동남로1417,35.1065664560332,128.966628834702,부산사하구,부산사하구낙동,부산 사하구 하단동 526-9
152,농협은행,NH농협은행다대포지점,부산사하구다대로556,35.0567945208069,128.970522843182,부산사하구,다대동,부산 사하구 다대동 903
153,농협은행,NH농협은행신평동금융센터,부산사하구신산로177,35.0902367009953,128.974957472096,부산사하구,신평동,부산 사하구 신평동 79-18
154,농협은행,NH농협은행대신동지점,부산서구구덕로345,35.1145115354526,129.015211110492,부산서구구,서대신동,부산 서구 서대신동3가 242-5
155,농협은행,NH농협은행광안동지점,부산수영구광남로195,35.1582860909198,129.120291094738,부산수영구,광안동,부산 수영구 광안동 132-12
156,농협은행,NH농협은행부산남천동지점,부산수영구광남로35,35.1461247032226,129.111025078701,부산수영구,남천동,부산 수영구 남천동 28-24
157,농협은행,NH농협은행연산동지점,부산연제구반송로58,35.189016113541,129.086111931648,부산연제구,연산동,부산 연제구 연산동 589-5
158,농협은행,NH농협은행연산중앙금융센터,부산연제구중앙대로1090,35.1847982096139,129.081062424005,부산연제구,연산동,부산 연제구 연산동 702-1
159,농협은행,NH농협은행토곡지점,부산연제구토현로6,35.1800610815599,129.107978655423,부산연제구,연산동,부산 연제구 연산동 2220-2
160,농협은행,NH농협은행영도지점,부산영도구남항로49,35.0885088428139,129.041871970918,부산영도구,영선동,부산 영도구 영선동2가 60
161,농협은행,NH농협은행동삼동지점,부산영도구동삼로64,35.0791771142074,129.070617563846,부산영도구,부산영도구동,부산 영도구 동삼동 268-6
162,농협은행,NH농협은행자갈치역지점,부산중구구덕로73,35.0974285124063,129.027764296645,부산중구구,남포동,부산 중구 남포동6가 1
163,농협은행,NH농협은행부산부평금융센터,부산중구대청로62,35.1027613606048,129.026759263177,부산중구,부평동,부산 중구 부평동1가 5-1
164,농협은행,NH농협은행부산중앙동지점,부산중구해관로65,35.1047169717965,129.035305214356,부산중구,중앙동,부산 중구 중앙동4가 36-14
165,농협은행,NH농협은행마린시티금융센터,부산해운대구마린시티3로1,35.1578598537693,129.147548677352,부산해운대구,우동,부산 해운대구 우동 1434
166,농협은행,NH농협은행센텀시티지점,부산해운대구센텀동로9,35.1705261851076,129.132772065603,부산해운대구,부산해운대구센텀동,부산 해운대구 우동 1498
167,농협은행,NH농협은행좌동지점,부산해운대구좌동순환로180,35.1774496480019,129.175771469114,부산해운대구,부산해운대구좌동,부산 해운대구 좌동 1289-5
168,농협은행,NH농협은행해운대지점,부산해운대구중동1로33,35.1626460015343,129.163132833232,부산해운대구,부산해운대구중동,부산 해운대구 중동 1394-33
169,우리은행,우리은행녹산공단금융센터,부산강서구녹산산단335로12-5,35.0902574009095,128.854642506916,부산강서구,송정동,부산 강서구 송정동 1631-4
170,우리은행,우리은행부산명지출장소,부산강서구명지국제8로234,35.0979532724789,128.918532247034,부산강서구,명지동,부산 강서구 명지동 3412-2
171,우리은행,우리은행기장지점,부산기장군기장읍읍내로92,35.2450175692532,129.214302275553,부산기장군,부산기장군기장읍읍,부산 기장군 기장읍 동부리 267
172,우리은행,우리은행부산정관지점,부산기장군정관읍정관로561,35.3219923199228,129.175270285392,부산기장군,부산기장군정관읍,부산 기장군 정관읍 매학리 713-1
173,우리은행,우리은행BIFC금융센터,부산남구문현금융로40,35.1471904547412,129.065835641197,부산남구,문현동,부산 남구 문현동 1229-1
174,우리은행,우리은행대연동금융센터,부산남구수영로189,35.1350796967312,129.087390429844,부산남구,대연동,부산 남구 대연동 1758-9
175,우리은행,우리은행메트로시티지점,부산남구용호로64,35.1256970880271,129.110676397742,부산남구,용호동,부산 남구 용호동 170
176,우리은행,우리은행초량지점,부산동구중앙대로287,35.1223233144495,129.043221440717,부산동구,부산동,부산 동구 초량동 1146-11
177,우리은행,우리은행범일동지점,부산동구진시장로16,35.1368799823364,129.058280948083,부산동구,부산동,부산 동구 범일동 643-4
178,우리은행,우리은행온천동금융센터,부산동래구금강공원로16,35.2188416493964,129.08286040974,부산동래구,부산동,부산 동래구 온천동 169-63
179,우리은행,우리은행온천남지점,부산동래구충렬대로107번길54,35.2096352674971,129.073374542522,부산동래구,부산동,부산 동래구 온천동 707
180,우리은행,우리은행동래금융센터,부산동래구충렬대로237번길30,35.2028756887965,129.085806602402,부산동래구,부산동,부산 동래구 수안동 457
181,우리은행,우리은행부암동지점,부산부산진구당감서로80번길19,35.1676241998293,129.038401896907,부산부산진구,부암동,부산 부산진구 부암동 500
182,우리은행,우리은행백병원출장소,부산부산진구복지로75,35.1459074654471,129.020355008914,부산부산진구,개금동,부산 부산진구 개금동 633-165
183,우리은행,우리은행부전동금융센터,부산부산진구중앙대로697,35.1551506910139,129.058887143547,부산부산진구,부전동,부산 부산진구 부전동 254-1
184,우리은행,우리은행서면지점,부산부산진구중앙대로718,35.1569214554491,129.059524313356,부산부산진구,부전동,부산 부산진구 부전동 157-10
186,우리은행,우리은행구포지점,부산북구낙동대로1686,35.2052678008701,128.99594051438,부산북구,부산북구낙동,부산 북구 구포동 1060-400
187,우리은행,우리은행화명동지점,부산북구화명대로42,35.2344958877531,129.012661633247,부산북구,화명동,부산 북구 화명동 2277-2
188,우리은행,우리은행르네시떼지점,부산사상구광장로7,35.1637648754403,128.978115655211,부산사상구,괘법동,부산 사상구 괘법동 529-1
189,우리은행,우리은행모라동금융센터,부산사상구사상로531번길24,35.1923481585704,128.988467911896,부산사상구,모라동,부산 사상구 모라동 281-5
190,우리은행,우리은행사상지점,부산사상구새벽로133,35.1529739772735,128.982316883079,부산사상구,감전동,부산 사상구 감전동 152-2
191,우리은행,우리은행하단동지점,부산사하구낙동남로1412,35.1059647786686,128.966053999619,부산사하구,부산사하구낙동,부산 사하구 하단동 589-6
