은행id,은행,지점명,주소,위도,경도,구군,읍면동
52,하나은행,하나은행메트로시티지점,부산 남구 용호동 176-30,35.1270970365131,129.109615654482,남구,용호동
53,하나은행,하나은행대연동지점,부산 남구 대연동 1741-11,35.1354196413274,129.092184200598,남구,대연동
54,하나은행,하나은행범일동지점,부산 동구 범일동 830-39,35.140308746547,129.060411127358,동구,범일동
55,하나은행,하나은행초량지점,부산 동구 초량동 207-1,35.1181073542006,129.040725163637,동구,초량동
56,하나은행,하나은행사직동지점,부산 동래구 사직동 47-27,35.1979718259904,129.060539537682,동래구,사직동
57,하나은행,하나은행온천장역지점,부산 동래구 온천동 153-8,35.2212892385143,129.08557720393,동래구,온천동
58,하나은행,하나은행동래지점,부산 동래구 수안동 665-8,35.2026728656425,129.081413102981,동래구,수안동
59,하나은행,하나은행서면지점,부산 부산진구 부전동 397-58,35.1586715903509,129.057876383671,부산진구,부전동
60,하나은행,하나은행부전동지점,부산 부산진구 부전동 156-12,35.1572268054362,129.05995666553,부산진구,부전동
61,하나은행,하나은행부산인터내셔널PB센터,부산 부산진구 부전동 260-1,35.1590096753709,129.059722911278,부산진구,부전동
62,하나은행,하나은행덕천동지점,부산 북구 덕천동 398-13,35.2108559394111,129.007328841657,북구,덕천동
63,하나은행,하나은행화명동지점,부산 북구 화명동 2272-4,35.2352457321749,129.01124790482,북구,화명동
64,하나은행,하나은행주례동지점,부산 사상구 주례동 1162-8,35.150019540635,129.001845823176,사상구,주례동
65,하나은행,하나은행사상지점,부산 사상구 괘법동 561-12,35.159326362736,128.983693480133,사상구,괘법동
66,하나은행,하나은행하단금융센터지점,부산 사하구 하단동 528-11,35.1066319122968,128.967704014658,사하구,하단동
67,하나은행,하나은행다대동지점,부산 사하구 다대동 120-1,35.0617919365986,128.977092027344,사하구,다대동
68,하나은행,하나은행신평지점,부산 사하구 신평동 262-12,35.0910888817883,128.97270951886,사하구,신평동
69,하나은행,하나은행동대신역지점,부산 서구 서대신동1가 52-5,35.1096082479123,129.017863814061,서구,서대신동
70,하나은행,하나은행남천동지점,부산 수영구 남천동 28-8,35.1462418458324,129.11118060678,수영구,남천동
71,하나은행,하나은행광안동지점,부산 수영구 광안동 1078-5,35.1648606997765,129.114323031427,수영구,광안동
72,하나은행,하나은행연산동지점,부산 연제구 연산동 729-2,35.186489952127,129.082670868859,연제구,연산동
73,하나은행,하나은행부산연산금융센터지점,부산 연제구 연산동 1242-27,35.1855213911791,129.080826208767,연제구,연산동
74,하나은행,하나은행영도지점,부산 영도구 영선동2가 71-1,35.0894560077423,129.042565481571,영도구,영선동
75,하나은행,하나은행동광동지점,부산 중구 동광동2가 4,35.1002336604516,129.035357116641,중구,동광동
76,하나은행,하나은행충무동지점,부산 중구 남포동6가 113-1,35.0968257746506,129.026408358505,중구,남포동
77,하나은행,하나은행해운대동백지점,부산 해운대구 우동 1435-1,35.1564874987623,129.147492844113,해운대구,우동
78,하나은행,하나은행장산역지점,부산 해운대구 좌동 1315,35.1696896023799,129.178547463843,해운대구,좌동
79,하나은행,하나은행센텀시티지점,부산 해운대구 우동 1468,35.1720509120054,129.128419794825,해운대구,우동
80,하나은행,하나은행센텀파크지점,부산 해운대구 재송동 1197,35.1789175300426,129.123037462953,해운대구,재송동
81,하나은행,하나은행해운대지점,부산 해운대구 좌동 1289-3,35.1775619026424,129.175291543736,해운대구,좌동
82,국민은행,KB국민은행녹산공단(점),부산 강서구 송정동 1631-13,35.0905766960749,128.855331727291,강서구,송정동
83,국민은행,KB국민은행명지국제신도시종합금융센터,부산 강서구 명지동 3420-4,35.0976063146564,128.921149198996,강서구,명지동
84,국민은행,KB국민은행두실역,부산 금정구 구서동 184-44,35.2556990018784,129.090983839637,금정구,구서동
85,국민은행,KB국민은행기장(점),부산 기장군 기장읍 대라리 57,35.2434116858683,129.216275295977,기장군,기장읍
86,국민은행,KB국민은행정관신도시,부산 기장군 정관읍 매학리 713-2,35.3219145785547,129.175634333002,기장군,정관읍
87,국민은행,KB국민은행부산국제금융센터(점),부산 남구 문현동 1229-1,35.1463408535388,129.065137222344,남구,문현동
88,국민은행,KB국민은행메트로시티,부산 남구 용호동 176-30,35.1272840107706,129.108814270954,남구,용호동
89,국민은행,KB국민은행대연동종합금융센터,부산 남구 대연동 1745-5,35.1353035092127,129.091133600469,남구,대연동
90,국민은행,KB국민은행범일동종합금융센터,부산 동구 범일동 830-58,35.138851026316,129.060389739674,동구,범일동
91,국민은행,KB국민은행부산역,부산 동구 초량동 375,35.117065968872,129.040382220982,동구,초량동
92,국민은행,KB국민은행명륜동,부산 동래구 명륜동 631-10,35.2077373929834,129.081671953213,동래구,명륜동
93,국민은행,KB국민은행사직동,부산 동래구 사직동 77-14,35.1973045069571,129.060778473744,동래구,사직동
94,국민은행,KB국민은행미남(점),부산 동래구 온천동 1248-4,35.2054543862347,129.067446932454,동래구,온천동
95,국민은행,KB국민은행동부산종합금융센터,부산 동래구 온천동 151-6,35.2220404683952,129.0846025946,동래구,온천동
96,국민은행,KB국민은행가야(점),부산 부산진구 가야동 257-20,35.1540825600594,129.035229727987,부산진구,가야동
97,국민은행,KB국민은행당감동,부산 부산진구 당감동 177-1,35.1630037652204,129.039535377182,부산진구,당감동
98,국민은행,KB국민은행개금동,부산 부산진구 개금동 502-11,35.1527134077661,129.020066851775,부산진구,개금동
99,국민은행,KB국민은행중부산종합금융센터,부산 부산진구 부전동 397-50,35.158948625941,129.057801064802,부산진구,부전동
100,국민은행,KB국민은행서면중앙,부산 부산진구 부전동 260-5,35.1585653536746,129.059036858976,부산진구,부전동
101,국민은행,KB국민은행부산상수도본부(점),부산 부산진구 양정동 273-20,35.1751646571355,129.0723526188,부산진구,양정동
102,국민은행,KB국민은행금곡동(점),부산 북구 금곡동 94-1,35.2630199544529,129.016252248973,북구,금곡동
103,국민은행,국민은행덕천동지점,부산 북구 덕천동 401-4,35.2105194376805,129.007839921531,북구,덕천동
104,국민은행,KB국민은행화명동,부산 북구 화명동 2272-6,35.2351558150068,129.011994763317,북구,화명동
105,국민은행,KB국민은행사상종합금융센터,부산 사상구 괘법동 578,35.1597634121468,128.980446072173,사상구,괘법동
106,국민은행,KB국민은행엄궁동,부산 사상구 엄궁동 376-1,35.1284442873882,128.969472664467,사상구,엄궁동
107,국민은행,KB국민은행당리동,부산 사하구 당리동 321-1,35.1029839124063,128.976122531781,사하구,당리동
108,국민은행,KB국민은행괴정역,부산 사하구 괴정동 964-5,35.0990217883447,128.993268725496,사하구,괴정동
109,국민은행,KB국민은행서부산종합금융센터,부산 사하구 장림동 328-31,35.0816457951473,128.967135420155,사하구,장림동
110,국민은행,KB국민은행동대신동(점),부산 서구 동대신동2가 378-2,35.1108364907691,129.017759211444,서구,동대신동
111,국민은행,KB국민은행자갈치역,부산 서구 토성동1가 51-1,35.0983173119369,129.024461689782,서구,토성동
112,국민은행,KB국민은행광안동,부산 수영구 광안동 473-2,35.1569291161338,129.113373745945,수영구,광안동
113,국민은행,KB국민은행남천동,부산 수영구 남천동 6-12,35.1455075608582,129.111998742185,수영구,남천동
114,국민은행,KB국민은행토곡,부산 연제구 연산동 419-4,35.1882239257604,129.106463955669,연제구,연산동
115,국민은행,KB국민은행부산시청,부산 연제구 연산동 1000,35.1792861474813,129.075953085264,연제구,연산동
116,국민은행,KB국민은행연산동종합금융센터,부산 연제구 연산동 1287-2,35.1851670228522,129.08052409497,연제구,연산동
117,국민은행,KB국민은행영도,부산 영도구 영선동1가 24-5,35.0907699318808,129.042671715391,영도구,영선동
118,국민은행,KB국민은행광복동,부산 중구 창선동1가 15,35.0994494857803,129.02999315512,중구,창선동
119,국민은행,KB국민은행부산종합금융센터,부산 중구 중앙동2가 15-1,35.1021582239154,129.036128703469,중구,중앙동
120,국민은행,KB국민은행마린시티,부산 해운대구 우동 1434,35.1578598537214,129.147548677339,해운대구,우동
121,국민은행,KB국민은행해운대PB센터,부산 해운대구 우동 1436-1,35.1543221857922,129.145705578696,해운대구,우동
122,국민은행,KB국민은행반여동(점),부산 해운대구 반여동 1206-13,35.2027676285071,129.11962239088,해운대구,반여동
123,국민은행,KB국민은행장산역,부산 해운대구 좌동 1484-1,35.1689922949142,129.178287423157,해운대구,좌동
124,국민은행,KB국민은행센텀시티종합금융센터,부산 해운대구 우동 1488,35.1717201905298,129.131851750511,해운대구,우동
125,국민은행,KB국민은행해운대,부산 해운대구 우동 602-5,35.1638984786854,129.159806991326,해운대구,우동
126,농협은행,NH농협은행부산강서지점,부산 강서구 대저1동 2339-1,35.212194145907,128.982674334594,강서구,
127,농협은행,NH농협은행부산대학교지점,부산 금정구 장전동 40,35.2329216361282,129.080320859271,금정구,장전동
128,농협은행,NH농협은행서동지점,부산 금정구 서동 194-53,35.2150178544998,129.10293415334,금정구,서동
