번호,소속지회,경로당명,주소,구군,동,위도,경도
43,남구지회,대명8동경로당,대구광역시 남구 영선시장1길 85-1 (대명동)    ,남구,대명동,35.854037018856,128.591182368724
44,남구지회,영선경로당,대구광역시 남구 중앙대로50길 40 (대명동)    ,남구,대명동,35.8527392601908,128.593529192262
45,남구지회,교대역동서프라임경로당,대구광역시 남구 이천로19길 81 (대명동)    ,남구,대명동,35.851079074942,128.594161201262
46,남구지회,교대하늘채경로당,대구광역시 남구 중앙대로 187 (대명동)    ,남구,대명동,35.8499860274141,128.587468568207
47,남구지회,대명3동경로당,대구광역시 남구 명덕로10길 27-1 (대명동)    ,남구,대명동,35.8578182909438,128.576263401697
48,남구지회,명동경로당,대구광역시 남구 성당로48길 68 (대명동)    ,남구,대명동,35.8531594245476,128.577638152433
49,남구지회,양지경로당,대구광역시 남구 성당로46길 80-4 (대명동)    ,남구,대명동,35.852200981323,128.578178809426
50,남구지회,대덕경로당,대구광역시 남구 삼각지5길 17 (대명동)    ,남구,대명동,35.8507411749991,128.582668263357
51,남구지회,일심경로당,대구광역시 남구 성명공원길 49 (대명동)    ,남구,대명동,35.8476192892899,128.571371725446
52,남구지회,대명4동경로당,대구광역시 남구 대경5길 101-2 (대명동)    ,남구,대명동,35.8497898764514,128.575260254523
53,남구지회,명오당경로당,대구광역시 남구 대명로58길 11 (대명동)    ,남구,대명동,35.843233264808,128.587803901525
54,남구지회,기로회경로당,대구광역시 남구 대명로49길 77 (대명동)    ,남구,대명동,35.8451172116317,128.582428105436
55,남구지회,대우경로당,대구광역시 남구 안지랑로7길 14-3 (대명동)    ,남구,대명동,35.8338511489387,128.5706071307
56,남구지회,대복경로당,대구광역시 남구 대명로20길 28 (대명동)    ,남구,대명동,35.8378934683195,128.56771400193
57,남구지회,골안경로당,대구광역시 남구 골안길 33-1 (대명동)    ,남구,대명동,35.8370952002053,128.561855406259
58,남구지회,뉴코스모스경로당,대구광역시 남구 대명로10길 6 (대명동)    ,남구,대명동,35.8379120000128,128.562812117518
59,남구지회,코스모스경로당,대구광역시 남구 대명로 42 (대명동)    ,남구,대명동,35.8382622438318,128.561913812262
60,남구지회,대명역센트럴엘리프경로당,대구광역시 남구 대명로14길 60 (대명동)    ,남구,대명동,35.8352744784785,128.563112298578
61,남구지회,대명9동경로당,대구광역시 남구 큰골길 53 (대명동)    ,남구,대명동,35.8372536032388,128.579037919411
62,남구지회,청록타운경로당,대구광역시 남구 큰골길 198 (대명동)    ,남구,대명동,35.8348320286893,128.585614260854
63,남구지회,남덕경로당,대구광역시 남구 현충로7길 42-4 (대명동)    ,남구,대명동,35.835091947289,128.577362197081
64,남구지회,대명10동경로당,대구광역시 남구 도촌길 150 (대명동)    ,남구,대명동,35.8406216329913,128.564850659392
65,남구지회,파크맨션경로당,대구광역시 남구 대명복개로 230 (대명동)    ,남구,대명동,35.8411304341898,128.571119529143
66,남구지회,명성경로당,대구광역시 남구 두류공원로5길 42-8 (대명동)    ,남구,대명동,35.8403453080317,128.572693314987
67,남구지회,개나리맨션경로당,대구광역시 남구 대명로 117 (대명동)    ,남구,대명동,35.8398727899128,128.570037133597
68,남구지회,대명11동경로당,대구광역시 남구 대명역6길 48 (대명동)    ,남구,대명동,35.832691308262,128.564062346746
69,남구지회,대현경로당,대구광역시 남구 앞산순환로63길 74-5 (대명동)    ,남구,대명동,35.8313929534074,128.559046924514
70,남구지회,관문경로당,대구광역시 남구 관문시장6길 7-4 (대명동)    ,남구,대명동,35.8364041490427,128.559687701408
71,달서구지회,삼성,대구광역시 달서구 성당로33안길23(성당동) ,달서구,성당동,35.8511795026813,128.569438186892
72,달서구지회,성당동 제1,대구광역시 달서구 대명천로12안길47(성당동) ,달서구,성당동,35.8398013983586,128.556268902422
73,달서구지회,성당에덴타운,"대구광역시 달서구 성당로33길16(성당동,성당에덴) ",달서구,성당동,35.8494717193951,128.569487652293
74,달서구지회,성당,대구광역시 달서구 장기로10안길15(성당동) ,달서구,성당동,35.8440991271202,128.554518371054
75,달서구지회,용산롯데캐슬그랜드,"대구광역시 달서구 장산남로33(용산동,롯데캐슬그랜드) ",달서구,용산동,35.8500186444748,128.526241808912
76,달서구지회,롯데캐슬레이크,"대구광역시 달서구 상화로58길86(도원동,롯데캐슬) ",달서구,도원동,35.8046307462189,128.548707299181
77,달서구지회,라일락,"대구광역시 달서구 장기로26길30(성당동,라일락) ",달서구,성당동,35.8442892277786,128.547520395237
78,달서구지회,성당동 제2,대구광역시 달서구 야외음악당로9길 45(성당동) ,달서구,성당동,35.8409870487049,128.550294936078
79,달서구지회,원화,대구광역시 달서구 장기로26길81(성당동) ,달서구,성당동,35.8470612539497,128.547968845866
80,달서구지회,용산1차서한화성,"대구광역시 달서구 장산로10(용산동,용산1차서한화성) ",달서구,용산동,35.8543630088137,128.530046941723
81,달서구지회,상이군경회달서,대구광역시 달서구 야외음악당로2길25(성당동) ,달서구,성당동,35.8378299145476,128.551281985546
82,달서구지회,두류1동,대구광역시 달서구 두류남6길16(두류동) ,달서구,두류동,35.8564851289384,128.571276940952
83,달서구지회,신호,대구광역시 달서구 야외음악당로47길158(두류동) ,달서구,두류동,35.8590862411565,128.564480403332
84,달서구지회,대성,대구광역시 달서구 두류공원로50길34(두류동) ,달서구,두류동,35.8565073297877,128.560767559817
85,달서구지회,신촌,대구광역시 달서구 밤골4길17(두류동) ,달서구,두류동,35.8596474937782,128.569652842702
86,달서구지회,금봉,대구광역시 달서구 야외음악당로39서길91-10(두류동) ,달서구,두류동,35.8518330538736,128.552750543151
87,달서구지회,호림,대구광역시 달서구 호산동로35길42-10(호산동) ,달서구,호산동,35.8512613008766,128.483527411533
88,달서구지회,영남네오빌파크,"대구광역시 달서구 한들로36(장기동,영남네오빌파크) ",달서구,장기동,35.8470093240546,128.526511535487
89,달서구지회,죽전그린빌,"대구광역시 달서구 와룡로53길40(죽전동,죽전그린빌) ",달서구,죽전동,35.8569721158168,128.534215800947
90,달서구지회,아카시아,"대구광역시 달서구 대명천로153(본리동,아카시아) ",달서구,본리,35.8379774455184,128.542145676721
91,달서구지회,비스타,대구광역시 달서구 대명천로250(장기동) ,달서구,장기동,35.8422844038222,128.532632830056
92,달서구지회,우방아파트(성당),"대구광역시 달서구 구마로171(본리동,성당우방) ",달서구,본리,35.8376269388033,128.545599880841
93,달서구지회,더샵달서센트럴,대구광역시 달서구 당산로17(본리동) ,달서구,본리,35.8379828409451,128.544363622145
94,달서구지회,장기주공아파트,"대구광역시 달서구 용산로88(장기동,장기아파트) ",달서구,장기동,35.8452704966062,128.532023217592
95,달서구지회,삼리,대구광역시 달서구 와룡로24길34(본리동) ,달서구,본리,35.8428857727608,128.538883854038
96,달서구지회,구마아파트여자,"대구광역시 달서구 대명천로51길56(본리동,구마아파트) ",달서구,본리,35.8393434072475,128.5330343187
97,달서구지회,수림원,대구광역시 달서구 감삼길71-18(감삼동) ,달서구,감삼동,35.8509782053941,128.541984559904
98,달서구지회,솔고개,대구광역시 달서구 월배로67안길14(송현동) ,달서구,송현동,35.826684123113,128.546279401259
99,달서구지회,감삼제1,대구광역시 달서구 감삼남6길 41-1(감삼동) ,달서구,감삼동,35.847914399941,128.544143571536
100,달서구지회,감삼제2,대구광역시 달서구  감삼1길 96(감삼동) ,달서구,감삼동,35.8456146677616,128.538122298844
101,달서구지회,수목원풍경그린,"대구광역시 달서구 갈밭남로64(대곡동,수목원풍경그린) ",달서구,대곡동,35.8015485439852,128.535132554476
102,달서구지회,죽전,대구광역시 달서구 와룡로52안길 45 (죽전동) ,달서구,죽전동,35.8573905466529,128.537892501522
103,달서구지회,춘추,대구광역시 달서구 와룡로49길18-17(죽전동) ,달서구,죽전동,35.8551787412582,128.536090724912
104,달서구지회,청학정,"대구광역시 달서구 달구벌대로323길39(감삼동,청실아파트) ",달서구,감삼동,35.8540767643731,128.54153239252
105,달서구지회,감삼농림,대구광역시 달서구 당산로 41서길22-5(감삼동) ,달서구,감삼동,35.8548298370719,128.544200201741
106,달서구지회,서촌,대구광역시 달서구  새방로23-16(용산동) ,달서구,용산동,35.861454222176,128.52096860429
107,달서구지회,장기동,대구광역시 달서구  문화회관 2길18(장기동) ,달서구,장기동,35.8479169011655,128.520846704817
108,달서구지회,용산,대구광역시 달서구  와룡로 57길 100(용산동) ,달서구,용산동,35.8582245195481,128.531745778314
109,달서구지회,성서용산,"대구광역시 달서구  성서동로350(용산동,동화평광협화타운) ",달서구,용산동,35.8511371104861,128.516439677203
110,달서구지회,성서보람타운,"대구광역시 달서구 새동네로 34(용산동,성서보람) ",달서구,용산동,35.8510267425522,128.518278559238
111,달서구지회,용산우방,"대구광역시 달서구  용산로 174(용산동,용산우방) ",달서구,용산동,35.8527955189068,128.530918733547
112,달서구지회,우방죽전타운,"대구광역시 달서구 용산로 160(용산동,우방죽전) ",달서구,용산동,35.8498640187371,128.531297041099
113,달서구지회,성서1차영남우방,"대구광역시 달서구 성지로 11(용산동,성서1차영남우방타운) ",달서구,용산동,35.8540703175428,128.517443190212
114,달서구지회,성서청구타운,"대구광역시 달서구 성지로 75(용산동,성서청구) ",달서구,용산동,35.8554532128571,128.520160221326
115,달서구지회,용산새동네,대구광역시 달서구 성지로 16길45(용산동) ,달서구,용산동,35.8570384603519,128.522556098928
116,달서구지회,성서2차 보성,"대구광역시 달서구 선원로 241(용산동,보성) ",달서구,용산동,35.8602850997849,128.517146303273
117,달서구지회,성서주공5,"대구광역시 달서구 선원남로 181(용산동,성서주공5) ",달서구,용산동,35.8573446482966,128.520587324227
118,달서구지회,성서주공6-1,대구광역시 달서구 성지로 35(용산동 성서주공6-1) ,달서구,용산동,35.853971153813,128.520218706889
119,달서구지회,성서주공7,"대구광역시 달서구 성지로 12(용산동,성서주공7) ",달서구,용산동,35.8526210413189,128.517631638806
120,달서구지회,성서주공8,"대구광역시 달서구 성지로 42(용산동,성서주공8) ",달서구,용산동,35.8526104897759,128.520625309197
121,달서구지회,성서2차영남우방,"대구광역시 달서구 이곡공원로 83(용산동,영남우방) ",달서구,용산동,35.8555296935257,128.517475323012
122,달서구지회,궁전,대구광역시 달서구 장기로221-6(장기동) ,달서구,장기동,35.843136736076,128.535835097662
123,달서구지회,성서,대구광역시 달서구 성서로 72길 97-13(이곡동) ,달서구,이곡동,35.8500854040819,128.512827490543
124,달서구지회,와룡타운,"대구광역시 달서구 이곡동로 32(이곡동,와룡타운) ",달서구,이곡동,35.852865182187,128.512063178121
125,달서구지회,대백창신한라,"대구광역시 달서구 성서서로 316(이곡동, 성서대백창신한라) ",달서구,이곡동,35.8523894592545,128.500419929982
126,달서구지회,성서보성화성,"대구광역시 달서구 계대동문로 99(이곡동,성서보성화성타운) ",달서구,이곡동,35.8556610217238,128.504116729615
127,달서구지회,청남타운,"대구광역시 달서구 성서서로 330(이곡동,성서청남타운) ",달서구,이곡동,35.8540656340236,128.500396613367
128,달서구지회,성서우방,"대구광역시 달서구 계대동문로 123(이곡동, 성서우방타운) ",달서구,이곡동,35.8557807187877,128.506452132308
129,달서구지회,동서서한,대구광역시 달서구 선원로 100(이곡동 성서동서서한) ,달서구,성서동,35.857606073889,128.50384363364
130,달서구지회,성서주공4,"대구광역시 달서구 성서동로 355-27(이곡동, 성서4주공아파트) ",달서구,이곡동,35.8513979343745,128.512928028628
131,달서구지회,이곡서한2차,"대구광역시 달서구 선원로 122(이곡동, 서한타운) ",달서구,이곡동,35.8588670367487,128.504809958167
132,달서구지회,성서동서화성,"대구광역시 달서구 이곡공원로33(이곡동,성서동서화성) ",달서구,성서동,35.8556879580002,128.512199699931
133,달서구지회,성서한샘타운,"대구광역시 달서구 선원남로 77(이곡동, 한샘아파트) ",달서구,이곡동,35.8575520080243,128.509447610546
134,달서구지회,성서푸른마을,"대구광역시 달서구 선원로137(이곡동,성서푸른마을) ",달서구,이곡동,35.8599634551035,128.508016353328
135,달서구지회,성서2차 화성타운,"대구광역시 달서구 성서동로 355-20(이곡동,화성타운) ",달서구,이곡동,35.8528535907443,128.513749238147
136,달서구지회,성서무지개타운,"대구광역시 달서구 선원로 171(이곡동,한라무지개타운) ",달서구,이곡동,35.859284968597,128.511981203654
137,달서구지회,한빛마을,"대구광역시 달서구 선원남로 99(이곡동,한빛마을) ",달서구,이곡동,35.8574937688739,128.512272525023
138,달서구지회,이곡 ,대구광역시 달서구 이곡공원로 1길 7(이곡동) ,달서구,이곡동,35.8557277228186,128.508305619113
139,달서구지회,산호,대구광역시 달서구 달구벌대로 203길 3(호산동) ,달서구,호산동,35.8535508942478,128.477962456475
140,달서구지회,장기초록나라,"대구광역시 달서구 한들로 55(장기동,장기초록나라) ",달서구,장기동,35.8448632170687,128.530061097989
141,달서구지회,신당,대구광역시 달서구 서당로 12길 15(신당동) ,달서구,신당동,35.8567853171794,128.496532495852
142,달서구지회,삼우,대구광역시 달서구 서당로7길 33-16(신당동) ,달서구,신당동,35.8542815195057,128.493601516477
143,달서구지회,성서주공2단지,"대구광역시 달서구 신당로 55(신당동,성서주공2단지) ",달서구,신당동,35.853845021205,128.49745066579
144,달서구지회,오정,대구광역시 달서구 성서서로73길 57(신당동) ,달서구,신당동,35.8578214537164,128.496772375892
145,달서구지회,와룡 ,대구광역시 달서구 성서서로75길 17-7(신당동)  ,달서구,신당동,35.8584264076541,128.498911070078
146,달서구지회,성산,대구광역시 달서구 서당로3길 19-10(신당동) ,달서구,신당동,35.8527647070197,128.494302965853
147,달서구지회,월배쌍용예가,"대구광역시 달서구 조암남로32길 13(유천동, 월배 쌍용 예가) ",달서구,예가,35.8179372904817,128.515165412201
148,달서구지회,조암,대구광역시 달서구 조암남로14안길 40(월성동) ,달서구,월성동,35.822726342774,128.523283426706
149,달서구지회,율지,대구광역시 달서구 달구벌대로 1312-8(이곡동) ,달서구,이곡동,35.8508720795523,128.510388015316
150,달서구지회,월성화성,"대구광역시 달서구  학산로 2길 27(월성동, 월성화성타운) ",달서구,월성동,35.8249771966622,128.533575888138
151,달서구지회,1차보성,"대구광역시 달서구  학산로30(월성동,월성보성1단지) ",달서구,월성동,35.8289449848627,128.53380240458
152,달서구지회,월성우방,"대구광역시 달서구  학산로2길 11(월성동, 월성우방타운) ",달서구,월성동,35.8261683580068,128.532635561351
153,달서구지회,월성청구,"대구광역시 달서구  학산로2길 24(월성동, 월성청구아파트) ",달서구,월성동,35.8246040019165,128.532475905488
154,달서구지회,월성영남,"대구광역시 달서구  학산로2길39(월성동,월성영남맨션) ",달서구,월성동,35.8242383143329,128.534791786864
155,달서구지회,월성백일주공1,대구광역시 달서구  월곡로 94길 30(월성동 월성주공1) ,달서구,월성동,35.8311313858616,128.52765397976
156,달서구지회,월성동서,대구광역시 달서구  학산로 7길 5(월성동 동서타운) ,달서구,월성동,35.8281192474824,128.53169055444
157,달서구지회,2차보성,대구광역시 달서구  학산로 7길 27(월성동 보성2단지) ,달서구,월성동,35.8303309200604,128.531106617168
158,달서구지회,서한타운,"대구광역시 달서구  학산로15(월성동,서한타운) ",달서구,월성동,35.8269386353621,128.530276370167
159,달서구지회,월성주공4,"대구광역시 달서구  구마로14남길55(월성동,월성주공4) ",달서구,월성동,35.8319289202728,128.533143743946
160,달서구지회,월배,대구광역시 달서구  상화로7길 121(진천동) ,달서구,진천동,35.8094721423068,128.524813482112
161,달서구지회,월진,대구광역시 달서구  월배로 117(진천동) ,달서구,진천동,35.8150371530289,128.527121399127
162,달서구지회,대곡,대구광역시 달서구  한실로6길 103(대곡동) ,달서구,대곡동,35.7984301142061,128.529658228146
163,달서구지회,신정,대구광역시 달서구  상화로9길 81-17(진천동) ,달서구,진천동,35.8119612101426,128.519336523234
164,달서구지회,귀빈,"대구광역시 달서구  월배로 32안길61(진천동,귀빈아파트) ",달서구,진천동,35.8136219338833,128.529986900996
165,달서구지회,동백만수당,대구광역시 달서구  월배로32안길 35(진천동) ,달서구,진천동,35.8146811879228,128.530812454095
166,달서구지회,삼정브리티시용산,"대구광역시 달서구 달구벌대로 1530(감삼동, 삼정브리티시용산) ",달서구,삼정브리,35.8493392619863,128.533918857703
167,달서구지회,대곡금강,"대구광역시 달서구  비슬로540길 38(대곡동, 금강아파트)  ",달서구,대곡동,35.8066136412774,128.51073468639
168,달서구지회,대곡금강2,"대구광역시 달서구  비슬로540길 14(대곡동, 금강아파트) ",달서구,대곡동,35.8074241625641,128.509923089192
169,달서구지회,진천귀빈2차,"대구광역시 달서구  월배로32안길 66(진천동, 월배2차귀빈타운) ",달서구,진천동,35.8128153472398,128.528801006387
170,달서구지회,대곡청구,"대구광역시 달서구  상화로8길 26(대곡동, 대곡청구아파트)  ",달서구,대곡동,35.8081403280448,128.516264558752
171,달서구지회,진천현대,"대구광역시 달서구  상화북로5길 39(진천동, 현대아파트) ",달서구,진천동,35.8124506546538,128.527198539929
172,달서구지회,진천우방,"대구광역시 달서구  진천로 4길39(진천동,진천우방맨션) ",달서구,진천동,35.8113297514956,128.527378979421
173,달서구지회,대곡우방,"대구광역시 달서구  비슬로538길22(대곡동,우방타운) ",달서구,대곡동,35.8060304086899,128.508905265229
174,달서구지회,월배동화타운,"대구광역시 달서구  상화로24(대곡동,월배동화타운) ",달서구,월배동,35.8095877651616,128.516750979046
175,달서구지회,진천청구,"대구광역시 달서구  진천로 41(진천동, 진천청구타운) ",달서구,진천동,35.8119647765301,128.523873729062
176,달서구지회,진천,대구광역시 달서구  상화북로 46-1(진천동)  ,달서구,진천동,35.8113955756323,128.531398356379
177,달서구지회,현대2차,"대구광역시 달서구  월배로14길 43(진천동, 진천역현대2차아파트) ",달서구,진천동,35.8117817980112,128.522298445997
178,달서구지회,진천제림하나로,"대구광역시 달서구  상화로 21길 55(진천동,제림하나로) ",달서구,진천동,35.8105292817421,128.523691743021
179,달서구지회,유천화성타운,"대구광역시 달서구  비슬로 2731(유천동,유천화성타운) ",달서구,유천동,35.810386005793,128.513606377176
180,달서구지회,세광그린맨션,"대구광역시 달서구  진천로7길 47(진천동, 세광그린타운) ",달서구,진천동,35.810572209238,128.522757714768
181,달서구지회,달맞이맨션,"대구광역시 달서구  월배로 30(진천동,달맞이맨션) ",달서구,진천동,35.8119865447143,128.518437100939
182,달서구지회,월촌,대구광역시 달서구  상인서로10길 42-1(상인동) ,달서구,상인동,35.8167137949701,128.548304136721
183,달서구지회,대곡한라하우젠트,"대구광역시 달서구  비슬로 2724(대곡동, 대곡한라하우젠트) ",달서구,대곡동,35.8088312370855,128.513999366684
184,달서구지회,모아엘가파크뷰,대구광역시 달서구 상화북로162(상인동) ,달서구,상인동,35.8105895077408,128.541716308415
185,달서구지회,영남화성,"대구광역시 달서구  상인서로 76(상인동,화성아파트) ",달서구,상인동,35.8165179006196,128.542577434642
186,달서구지회,상인동서,"대구광역시 달서구  상인서로 39(상인동,동서아파트) ",달서구,상인동,35.8132291340213,128.544962078569
187,달서구지회,상인보성,"대구광역시 달서구  상인서로 75(상인동,보성아파트) ",달서구,상인동,35.8158447372132,128.541523841387
188,달서구지회,상인동방현대,"대구광역시 달서구  상인서로 85(상인동,동방현대) ",달서구,상인동,35.8179116760708,128.540283447758
189,달서구지회,보성은하타운,"대구광역시 달서구  월곡로 320(상인동,보성은하아파트)  ",달서구,상인동,35.8235828118417,128.5342978335
190,달서구지회,동화태왕한양,"대구광역시 달서구  상인서로 94(상인동,동화태왕한양) ",달서구,상인동,35.8183654319414,128.540731579969
191,달서구지회,상인서한,"대구광역시 달서구  상인서로 46(상인동,상인서한) ",달서구,상인동,35.8152372058964,128.543817261111
192,달서구지회,상인우방,"대구광역시 달서구  상인서로65(상인동,우방타운) ",달서구,상인동,35.8155625542004,128.543007926083
193,달서구지회,성지맨션,"대구광역시 달서구  상화북로 195(상인동,성지맨션) ",달서구,상인동,35.8140347197222,128.546528381514
194,달서구지회,상인청구,"대구광역시 달서구  상인로 105(상인동,청구아파트) ",달서구,상인동,35.8152518877288,128.545780836199
195,달서구지회,월평,대구광역시 달서구  월배로 40길27-21(상인동) ,달서구,상인동,35.8173877278595,128.536017805619
196,달서구지회,월곡,대구광역시 달서구  월곡로27길30(상인동) ,달서구,상인동,35.8093534636094,128.545758762697
197,달서구지회,진천코오롱하늘채,"대구광역시 달서구  상화로 65(진천동,코오롱하늘채) ",달서구,진천동,35.808305927847,128.520896240319
198,달서구지회,낙원,"대구광역시 달서구  월곡로45길49(상인동,낙원아파트) ",달서구,상인동,35.8125160822941,128.539981068015
199,달서구지회,서한이다음레이크뷰,"대구광역시 달서구 상화로58길35(도원동,서한이다음레이크뷰) ",달서구,도원동,35.8073751484197,128.54604621855
200,달서구지회,산호타운,"대구광역시 달서구  상화북로 159(상인동,산호타운) ",달서구,상인동,35.8120891187445,128.543787840469
201,달서구지회,한양은하,"대구광역시 달서구  상화북로 137(상인동,한양은하) ",달서구,상인동,35.8112135203428,128.540904263506
202,달서구지회,청자,"대구광역시 달서구  상화북로117(상인동,우방청자) ",달서구,상인동,35.8114797883206,128.538239922266
203,달서구지회,삼미타운,"대구광역시 달서구  월배로34길 27(상인동,삼미아파트) ",달서구,상인동,35.8153307310312,128.532913244192
204,달서구지회,상인동화아이위시,"대구광역시 달서구  월곡로171(상인동,보라맨션) ",달서구,상인동,35.8105835661386,128.545070243288
205,달서구지회,월상,대구광역시 달서구  상원로13길 23-17(상인동)  ,달서구,상인동,35.8140980762019,128.534047147728
206,달서구지회,상인은행,"대구광역시 달서구  월곡로 112(상인동,은행아파트)  ",달서구,상인동,35.8072449107945,128.549819314481
207,달서구지회,상인제림,"대구광역시 달서구  상화북로196(상인동,상인제림) ",달서구,상인동,35.8126346683656,128.548230237265
208,달서구지회,장미4단지,"대구광역시 달서구  상화로 380(상인동, 장미아파트) ",달서구,상인동,35.807378634115,128.555950927367
209,달서구지회,장미3단지,"대구광역시 달서구  상화로 370(상인동,장미3단지) ",달서구,상인동,35.8077143368034,128.552122872461
210,달서구지회,비둘기할머니,"대구광역시 달서구  상화로 371(상인동,비둘기1단지) ",달서구,상인동,35.808815326097,128.552454285619
211,달서구지회,비둘기아파트,"대구광역시 달서구  상화로 373(상인동,비둘기아파트) ",달서구,상인동,35.8086914314341,128.555025455803
