행정기관,전체,65세이상 전체,구군
대구광역시 중구 ,"100,332","18,332","중구"
대구광역시 동구 ,"340,495","82,952","동구"
대구광역시 서구 ,"160,919","46,222","서구"
대구광역시 남구 ,"136,417","38,388","남구"
대구광역시 북구 ,"411,135","80,853","북구"
대구광역시 수성구 ,"409,457","81,522","수성구"
대구광역시 달서구 ,"520,110","104,442","달서구"
대구광역시 달성군 ,"255,785","44,629","달성군"
대구광역시 군위군 ,"22,390","10,837","군위군"
