은행id,은행,지점명,주소,구군,읍면동,위도,경도,복지스코어,교통스코어,전체인구,65세이상,고령인구비율,동별지점수,포화도,클러스터,고령유동총합_500m,고령유동밀집도,유동인구스코어,인프라성숙도
92,iM뱅크(구 대구은행),월촌역지점,대구광역시 달서구 송현동 월배로322,달서구,송현1동,35.82412864,128.54632,4.164920189,4.329548694,16363,4756,6.467012074834887,2,2.691211273666093,6,0.0,0.0,1.0,5.987829705478198
93,iM뱅크(구 대구은행),유통단지영업부,대구광역시 북구 산격동 유통단지로73,북구,산격2동,35.90795214,128.6102898,2.136068714,4.937199417,9645,2523,5.6662823219945295,4,1.361088486599459,0,0.0,0.0,1.0,4.9950763425221965
96,iM뱅크(구 대구은행),이현공단영업부,대구광역시 서구 중리동 국채보상로124,서구,상중이동,35.86851112,128.5447464,2.184980588,3.42579824,17434,4650,5.807697414556659,2,2.8146514629948367,0,32.03166552030671,40.783983224184325,1.3681340899362684,3.3123016046607496
109,iM뱅크(구 대구은행),파동지점,대구광역시 수성구 상동 수성로5,수성구,상동,35.82598648,128.6098743,1.941747729,2.926853114,14198,4008,6.236664409681879,1,4.078098106712565,0,29.8316391509434,37.98282265125083,1.3428495881107885,2.4704099877730807
111,iM뱅크(구 대구은행),팔달로지점,대구광역시 서구 비산동 팔달로72-1,서구,비산7동,35.88992938,128.558066,1.993192065,8.8,8379,2755,7.517661552149764,2,1.7709998155888862,5,363.90515146511353,463.3384293782216,5.182295537295768,4.664458131474176
112,iM뱅크(구 대구은행),팔달영업부,대구광역시 서구 비산동 팔달로126,서구,비산5동,35.88913523,128.5638313,2.570841114,8.574459005,4987,1926,9.098932408056577,1,1.954834644701254,5,374.81759013278673,477.2325778194002,5.307710204708628,7.002371568993965
117,iM뱅크(구 대구은행),효목동지점,대구광역시 동구 효목동 효목로13,동구,효목2동,35.87462388,128.6390695,2.740910026,4.419375118,14055,3756,5.8219014086698,3,1.8852194492254728,0,83.56660558244651,106.4003068468571,1.9604157572029512,7.292439317624401
123,KB국민은행,KB국민은행 내당동종합금융센터,대구 서구 달구벌대로 1777,서구,내당1동,35.85885785,128.5592859,4.161648113,3.936218962,9351,2442,5.654223656085304,2,1.8830295672485864,6,251.3270139383683,319.99949280653595,3.8884555345380347,8.961502547950818
124,KB국민은행,KB국민은행 평리동,대구 서구 서대구로 137,서구,평리4동,35.87009959,128.554565,3.487284909,3.780029524,15549,4081,5.690365122874559,4,1.7013269916400295,0,236.4601381218899,301.0703986103288,3.7175932421784594,7.277325132346636
125,KB국민은행,KB국민은행 봉덕동,대구 남구 봉덕로 69,남구,봉덕1동,35.84511423,128.5986833,3.750955072,5.288207138,7906,2480,7.101384762285553,5,1.169750430292599,6,237.3023584905661,302.1427468891087,3.7272727272727266,7.505513690146582
128,KB국민은행,KB국민은행 대구유통단지종합금융센터,대구 북구 유통단지로13길 9,북구,산격2동,35.90821539,128.6091254,1.986398346,5.045094079,9645,2523,5.6662823219945295,4,1.361088486599459,0,0.0,0.0,1.0,4.882584140565135
129,KB국민은행,KB국민은행 대구3공단종합금융센터,대구 북구 노원로 137,북구,노원동,35.89766385,128.5756238,2.056021297,2.277845986,11171,3107,6.122009185744536,4,1.4490295365134007,0,213.70675324675324,272.09988921072585,3.456092739537787,2.030369753655757
143,KB국민은행,KB국민은행 달성공단종합금융센터,대구 달성군 논공읍 논공중앙로32길 2,달성군,논공읍,35.7287703,128.4523643,2.468172337,1.979657871,4224,1380,7.4599913481525455,5,1.0,0,0.0,0.0,1.0,2.1074446253918846
145,NH농협은행,군위군지부,대구광역시 군위군 군위읍 대구광역시 군위군 군위읍 중앙길 109,군위군,군위읍,36.23807094,128.5669743,2.991929277,1.816564365,7811,2791,8.3032133764464,2,1.705533870174576,0,0.0,0.0,1.0,2.1430461796609954
146,NH농협은행,군위군청<출>,대구광역시 군위군 군위읍 대구광역시 군위군 군위읍 군청로 200,군위군,군위읍,36.24303011,128.5729675,1.434804866,1.0,7811,2791,8.3032133764464,2,1.705533870174576,0,0.0,0.0,1.0,1.0
148,NH농협은행,달성군지부,대구광역시 달서구 송현1동 대구광역시 달서구 월배로 458,달서구,송현1동,35.8339361,128.5553336,3.235439432,8.8,16363,4756,6.467012074834887,2,2.691211273666093,5,0.0,0.0,1.0,9.730045043324044
149,NH농협은행,달성군청<출>,대구광역시 달성군 논공읍 대구광역시 달성군 논공읍 달성군청로 33,달성군,논공읍,35.77466317,128.4313897,1.917841329,1.0,4224,1380,7.4599913481525455,5,1.0,0,0.0,0.0,1.0,1.0890683711284248
152,NH농협은행,대구시산격청사<출>,대구광역시 북구 산격4동 대구광역시 북구 연암로 40 102동(농협동) 1층,북구,산격4동,35.89202721,128.5984093,4.003617955,3.363890275,7202,2283,7.19254552796712,2,1.6353423899680353,0,0.0,0.0,1.0,4.67017094469732
154,NH농협은행,대구유통단지지점,대구광역시 북구 산격2동 대구광역시 북구 유통단지로8길 13,북구,산격2동,35.90453071,128.6078426,3.248994046,6.234484517,9645,2523,5.6662823219945295,4,1.361088486599459,6,0.0,0.0,1.0,6.548773674985991
158,NH농협은행,대명동지점,대구광역시 남구 대명10동 대구광역시 남구 대명로 117,남구,대명10동,35.83987279,128.5700371,3.282134588,7.253411684,8096,2676,7.565464174138716,2,1.738382099827883,5,284.7628301886793,362.57129626693046,4.2727272727272725,7.375467524702404
160,NH농협은행,동촌지점,대구광역시 동구 동촌동 대구광역시 동구 해동로 231,동구,동촌동,35.88483817,128.6539153,2.358879577,3.514309571,14179,4233,6.684189718302608,1,4.073718342758791,0,12.814458451099709,16.31587524430585,1.1472742338961757,3.1298919041290763
161,NH농협은행,두류지점,대구광역시 서구 내당1동 대구광역시 서구 달구벌대로 1797,서구,내당1동,35.85955487,128.5613962,3.899416623,6.181558802,9351,2442,5.654223656085304,2,1.8830295672485864,6,241.3466567955112,307.29210742167027,3.773753110098213,8.519218701868292
167,NH농협은행,봉덕지점,대구광역시 남구 봉덕1동 대구광역시 남구 봉덕로 125,남구,봉덕1동,35.84470535,128.6041069,4.367369822,5.617162273,7906,2480,7.101384762285553,5,1.169750430292599,6,58.30520283018868,74.23648990720076,1.670091062509182,7.081605087045856
