구군,의료기관명,소 재 지(도로명),위도,경도
중구,키성형외과의원,"대구광역시 중구 동성로5길 31, 3층 (삼덕동1가)",35.8678767366563,128.596273793022
중구,메디수의원,"대구광역시 중구 동덕로 99, 삼덕빌딩 2층 (삼덕동2가)",35.8637276174125,128.602471782998
중구,서울새론안과 의원,"대구광역시 중구 달구벌대로 2207, 2층, 3층, 5층 (삼덕동2가)",35.8630804032639,128.604835136662
중구,동성로리쥬엘의원,"대구광역시 중구 동성로6길 12-13, 7층 (공평동)",35.868438701578,128.59579140058
중구,와이레이디여성의원,"대구광역시 중구 공평로8길 11-1, 2층 (삼덕동2가)",35.8672098344211,128.600719831785
중구,티나성형외과의원,"대구광역시 중구 동성로3길 106, 3층 (공평동)",35.8699830814753,128.59879306028
중구,경대에스디의원,"대구광역시 중구 달구벌대로 2207, 동현빌딩 8층 (삼덕동2가)",35.8630804032639,128.604835136662
중구,이룸비뇨의학과의원,"대구광역시 중구 달구벌대로 2105, 대구은행 반월당지점 2층 (덕산동)",35.8657726564969,128.594034687623
중구,대구차여성의원,"대구광역시 중구 달구벌대로 2095, 삼성생명 4~5층 (덕산동)",35.8663183838019,128.592798810904
중구,더리즈의원,"대구광역시 중구 공평로 20, 삼성빌딩 7층 (삼덕동2가)",35.8657310039554,128.600237066834
중구,센트럴내과의원,"대구광역시 중구 서성로 96, 4층 (수창동)",35.875226343861,128.58811192143
중구,렛츠성형외과의원,"대구광역시 중구 달구벌대로 2149, 반월타워 9층 (삼덕동1가)",35.8645853316005,128.598934813138
중구,고철우클리닉의원,"대구광역시 중구 중앙대로 359, 반월당메티칼오피스타워 9층 (남산동)",35.8650671399825,128.592799230416
중구,경대연합엠플랜의원,"대구광역시 중구 중앙대로 359, 반월당메티칼오피스타워 7층 (남산동)",35.8650671399825,128.592799230416
중구,대구동성로예쁨주의쁨의원,"대구광역시 중구 동성로 39, 씨네시티한일 5,6층 (동성로2가)",35.8704897119914,128.595376942134
중구,상상의원,"대구광역시 중구 동성로 39, 씨네시티한일 13,14층 (동성로2가)",35.8704897119914,128.595376942134
중구,나의계절의원,"대구광역시 중구 명륜로23길 106, 반월당 클래시아2차 (봉산동)",35.8647299678574,128.594867796935
