번호,소속지회,경로당명,주소
78,달서구지회,성당동 제2,대구광역시 달서구 야외음악당로9길 45(성당동) 
79,달서구지회,원화,대구광역시 달서구 장기로26길81(성당동) 
80,달서구지회,용산1차서한화성,"대구광역시 달서구 장산로10(용산동,용산1차서한화성) "
81,달서구지회,상이군경회달서,대구광역시 달서구 야외음악당로2길25(성당동) 
82,달서구지회,두류1동,대구광역시 달서구 두류남6길16(두류동) 
83,달서구지회,신호,대구광역시 달서구 야외음악당로47길158(두류동) 
84,달서구지회,대성,대구광역시 달서구 두류공원로50길34(두류동) 
85,달서구지회,신촌,대구광역시 달서구 밤골4길17(두류동) 
86,달서구지회,금봉,대구광역시 달서구 야외음악당로39서길91-10(두류동) 
87,달서구지회,호림,대구광역시 달서구 호산동로35길42-10(호산동) 
88,달서구지회,영남네오빌파크,"대구광역시 달서구 한들로36(장기동,영남네오빌파크) "
89,달서구지회,죽전그린빌,"대구광역시 달서구 와룡로53길40(죽전동,죽전그린빌) "
90,달서구지회,아카시아,"대구광역시 달서구 대명천로153(본리동,아카시아) "
91,달서구지회,비스타,대구광역시 달서구 대명천로250(장기동) 
92,달서구지회,우방아파트(성당),"대구광역시 달서구 구마로171(본리동,성당우방) "
93,달서구지회,더샵달서센트럴,대구광역시 달서구 당산로17(본리동) 
94,달서구지회,장기주공아파트,"대구광역시 달서구 용산로88(장기동,장기아파트) "
95,달서구지회,삼리,대구광역시 달서구 와룡로24길34(본리동) 
96,달서구지회,구마아파트여자,"대구광역시 달서구 대명천로51길56(본리동,구마아파트) "
97,달서구지회,수림원,대구광역시 달서구 감삼길71-18(감삼동) 
98,달서구지회,솔고개,대구광역시 달서구 월배로67안길14(송현동) 
99,달서구지회,감삼제1,대구광역시 달서구 감삼남6길 41-1(감삼동) 
100,달서구지회,감삼제2,대구광역시 달서구  감삼1길 96(감삼동) 
101,달서구지회,수목원풍경그린,"대구광역시 달서구 갈밭남로64(대곡동,수목원풍경그린) "
102,달서구지회,죽전,대구광역시 달서구 와룡로52안길 45 (죽전동) 
103,달서구지회,춘추,대구광역시 달서구 와룡로49길18-17(죽전동) 
104,달서구지회,청학정,"대구광역시 달서구 달구벌대로323길39(감삼동,청실아파트) "
105,달서구지회,감삼농림,대구광역시 달서구 당산로 41서길22-5(감삼동) 
106,달서구지회,서촌,대구광역시 달서구  새방로23-16(용산동) 
107,달서구지회,장기동,대구광역시 달서구  문화회관 2길18(장기동) 
108,달서구지회,용산,대구광역시 달서구  와룡로 57길 100(용산동) 
109,달서구지회,성서용산,"대구광역시 달서구  성서동로350(용산동,동화평광협화타운) "
110,달서구지회,성서보람타운,"대구광역시 달서구 새동네로 34(용산동,성서보람) "
111,달서구지회,용산우방,"대구광역시 달서구  용산로 174(용산동,용산우방) "
112,달서구지회,우방죽전타운,"대구광역시 달서구 용산로 160(용산동,우방죽전) "
113,달서구지회,성서1차영남우방,"대구광역시 달서구 성지로 11(용산동,성서1차영남우방타운) "
114,달서구지회,성서청구타운,"대구광역시 달서구 성지로 75(용산동,성서청구) "
115,달서구지회,용산새동네,대구광역시 달서구 성지로 16길45(용산동) 
116,달서구지회,성서2차 보성,"대구광역시 달서구 선원로 241(용산동,보성) "
117,달서구지회,성서주공5,"대구광역시 달서구 선원남로 181(용산동,성서주공5) "
118,달서구지회,성서주공6-1,대구광역시 달서구 성지로 35(용산동 성서주공6-1) 
119,달서구지회,성서주공7,"대구광역시 달서구 성지로 12(용산동,성서주공7) "
120,달서구지회,성서주공8,"대구광역시 달서구 성지로 42(용산동,성서주공8) "
121,달서구지회,성서2차영남우방,"대구광역시 달서구 이곡공원로 83(용산동,영남우방) "
122,달서구지회,궁전,대구광역시 달서구 장기로221-6(장기동) 
123,달서구지회,성서,대구광역시 달서구 성서로 72길 97-13(이곡동) 
124,달서구지회,와룡타운,"대구광역시 달서구 이곡동로 32(이곡동,와룡타운) "
125,달서구지회,대백창신한라,"대구광역시 달서구 성서서로 316(이곡동, 성서대백창신한라) "
126,달서구지회,성서보성화성,"대구광역시 달서구 계대동문로 99(이곡동,성서보성화성타운) "
127,달서구지회,청남타운,"대구광역시 달서구 성서서로 330(이곡동,성서청남타운) "
128,달서구지회,성서우방,"대구광역시 달서구 계대동문로 123(이곡동, 성서우방타운) "
129,달서구지회,동서서한,대구광역시 달서구 선원로 100(이곡동 성서동서서한) 
130,달서구지회,성서주공4,"대구광역시 달서구 성서동로 355-27(이곡동, 성서4주공아파트) "
131,달서구지회,이곡서한2차,"대구광역시 달서구 선원로 122(이곡동, 서한타운) "
132,달서구지회,성서동서화성,"대구광역시 달서구 이곡공원로33(이곡동,성서동서화성) "
133,달서구지회,성서한샘타운,"대구광역시 달서구 선원남로 77(이곡동, 한샘아파트) "
134,달서구지회,성서푸른마을,"대구광역시 달서구 선원로137(이곡동,성서푸른마을) "
135,달서구지회,성서2차 화성타운,"대구광역시 달서구 성서동로 355-20(이곡동,화성타운) "
136,달서구지회,성서무지개타운,"대구광역시 달서구 선원로 171(이곡동,한라무지개타운) "
137,달서구지회,한빛마을,"대구광역시 달서구 선원남로 99(이곡동,한빛마을) "
138,달서구지회,이곡 ,대구광역시 달서구 이곡공원로 1길 7(이곡동) 
139,달서구지회,산호,대구광역시 달서구 달구벌대로 203길 3(호산동) 
140,달서구지회,장기초록나라,"대구광역시 달서구 한들로 55(장기동,장기초록나라) "
141,달서구지회,신당,대구광역시 달서구 서당로 12길 15(신당동) 
142,달서구지회,삼우,대구광역시 달서구 서당로7길 33-16(신당동) 
143,달서구지회,성서주공2단지,"대구광역시 달서구 신당로 55(신당동,성서주공2단지) "
144,달서구지회,오정,대구광역시 달서구 성서서로73길 57(신당동) 
145,달서구지회,와룡 ,대구광역시 달서구 성서서로75길 17-7(신당동)  
146,달서구지회,성산,대구광역시 달서구 서당로3길 19-10(신당동) 
147,달서구지회,월배쌍용예가,"대구광역시 달서구 조암남로32길 13(유천동, 월배 쌍용 예가) "
148,달서구지회,조암,대구광역시 달서구 조암남로14안길 40(월성동) 
149,달서구지회,율지,대구광역시 달서구 달구벌대로 1312-8(이곡동) 
150,달서구지회,월성화성,"대구광역시 달서구  학산로 2길 27(월성동, 월성화성타운) "
151,달서구지회,1차보성,"대구광역시 달서구  학산로30(월성동,월성보성1단지) "
152,달서구지회,월성우방,"대구광역시 달서구  학산로2길 11(월성동, 월성우방타운) "
153,달서구지회,월성청구,"대구광역시 달서구  학산로2길 24(월성동, 월성청구아파트) "
154,달서구지회,월성영남,"대구광역시 달서구  학산로2길39(월성동,월성영남맨션) "
155,달서구지회,월성백일주공1,대구광역시 달서구  월곡로 94길 30(월성동 월성주공1) 
156,달서구지회,월성동서,대구광역시 달서구  학산로 7길 5(월성동 동서타운) 
157,달서구지회,2차보성,대구광역시 달서구  학산로 7길 27(월성동 보성2단지) 
158,달서구지회,서한타운,"대구광역시 달서구  학산로15(월성동,서한타운) "
159,달서구지회,월성주공4,"대구광역시 달서구  구마로14남길55(월성동,월성주공4) "
160,달서구지회,월배,대구광역시 달서구  상화로7길 121(진천동) 
161,달서구지회,월진,대구광역시 달서구  월배로 117(진천동) 
162,달서구지회,대곡,대구광역시 달서구  한실로6길 103(대곡동) 
163,달서구지회,신정,대구광역시 달서구  상화로9길 81-17(진천동) 
164,달서구지회,귀빈,"대구광역시 달서구  월배로 32안길61(진천동,귀빈아파트) "
165,달서구지회,동백만수당,대구광역시 달서구  월배로32안길 35(진천동) 
166,달서구지회,삼정브리티시용산,"대구광역시 달서구 달구벌대로 1530(감삼동, 삼정브리티시용산) "
167,달서구지회,대곡금강,"대구광역시 달서구  비슬로540길 38(대곡동, 금강아파트)  "
168,달서구지회,대곡금강2,"대구광역시 달서구  비슬로540길 14(대곡동, 금강아파트) "
169,달서구지회,진천귀빈2차,"대구광역시 달서구  월배로32안길 66(진천동, 월배2차귀빈타운) "
170,달서구지회,대곡청구,"대구광역시 달서구  상화로8길 26(대곡동, 대곡청구아파트)  "
171,달서구지회,진천현대,"대구광역시 달서구  상화북로5길 39(진천동, 현대아파트) "
172,달서구지회,진천우방,"대구광역시 달서구  진천로 4길39(진천동,진천우방맨션) "
173,달서구지회,대곡우방,"대구광역시 달서구  비슬로538길22(대곡동,우방타운) "
174,달서구지회,월배동화타운,"대구광역시 달서구  상화로24(대곡동,월배동화타운) "
175,달서구지회,진천청구,"대구광역시 달서구  진천로 41(진천동, 진천청구타운) "
176,달서구지회,진천,대구광역시 달서구  상화북로 46-1(진천동)  
177,달서구지회,현대2차,"대구광역시 달서구  월배로14길 43(진천동, 진천역현대2차아파트) "
178,달서구지회,진천제림하나로,"대구광역시 달서구  상화로 21길 55(진천동,제림하나로) "
179,달서구지회,유천화성타운,"대구광역시 달서구  비슬로 2731(유천동,유천화성타운) "
180,달서구지회,세광그린맨션,"대구광역시 달서구  진천로7길 47(진천동, 세광그린타운) "
181,달서구지회,달맞이맨션,"대구광역시 달서구  월배로 30(진천동,달맞이맨션) "
182,달서구지회,월촌,대구광역시 달서구  상인서로10길 42-1(상인동) 
183,달서구지회,대곡한라하우젠트,"대구광역시 달서구  비슬로 2724(대곡동, 대곡한라하우젠트) "
184,달서구지회,모아엘가파크뷰,대구광역시 달서구 상화북로162(상인동) 
185,달서구지회,영남화성,"대구광역시 달서구  상인서로 76(상인동,화성아파트) "
186,달서구지회,상인동서,"대구광역시 달서구  상인서로 39(상인동,동서아파트) "
187,달서구지회,상인보성,"대구광역시 달서구  상인서로 75(상인동,보성아파트) "
188,달서구지회,상인동방현대,"대구광역시 달서구  상인서로 85(상인동,동방현대) "
189,달서구지회,보성은하타운,"대구광역시 달서구  월곡로 320(상인동,보성은하아파트)  "
