약국명,주소,위도,경도
하늘온누리약국,대구광역시 서구 달서로 118 (비산동),35.8727387762002,128.571385629394
우리약국,대구광역시 서구 서대구로62길 3 (비산동),35.8849110104396,128.557550169058
새현약국,대구광역시 서구 달서로 191 (비산동),35.8791863357361,128.571079163106
대지약국,대구광역시 서구 서대구로62길 47 (비산동),35.8860352308828,128.561800138985
광장약국,대구광역시 서구 서대구로 58 (내당동),35.8631522771689,128.556582781012
윤약국,대구광역시 서구 달구벌대로 1805 (내당동),35.8598125068388,128.562186235107
북비산약국,대구광역시 서구 달서로 201 (비산동),35.8803130298603,128.571313906964
혜인약국,대구광역시 서구 서대구로62길 66 (비산동),35.8865219591037,128.563564451875
뉴 서대구약국,대구광역시 서구 북비산로 347 (비산동),35.8800145048342,128.570960764213
아진약국,대구광역시 서구 달구벌대로 1875 (내당동),35.8617324976349,128.569444545359
제일약국,대구광역시 서구 원대로 55 (원대동1가),35.8823074433293,128.580721002459
온누리 광명약국,대구광역시 서구 문화로 196 (평리동),35.8752349658012,128.554028847175
천일약국,대구광역시 서구 서대구로 188 (평리동),35.8747668272702,128.555211732405
메디칼 후문약국,대구광역시 서구 평리로33길 12 (중리동),35.8600704277847,128.541503440143
한가족약국,대구광역시 서구 달서로 159 (비산동),35.8765007313832,128.570983603736
한독약국,대구광역시 서구 달구벌대로 1733 (내당동),35.8572131827046,128.554730135397
수영약국,대구광역시 서구 달서로 184-1 (비산동),35.8787335524346,128.571564948041
경성약국,대구광역시 서구 달구벌대로375길 1 (내당동),35.8615695574461,128.568728072463
동남약국,대구광역시 서구 통학로 27 (내당동),35.8626527284281,128.564078128437
서약국,대구광역시 서구 국채보상로46길 57 (평리동),35.8655096706048,128.557334546574
새솔밭약국,대구광역시 서구 달구벌대로329길 79 (중리동),35.857077826864,128.544650618708
원고개약국,대구광역시 서구 통학로48길 44 (비산동),35.8811983333624,128.567823678753
부광약국,"대구광역시 서구 서대구로 66, 1층 (평리동)",35.86397659121,128.556406384147
대양약국,대구광역시 서구 통학로 86-1 (평리동),35.8680725571477,128.563596325899
달성약국,대구광역시 서구 북비산로74길 41 (비산동),35.8772429320712,128.577273037312
수정약국,"대구광역시 서구 북비산로 244, 1층 (평리동)",35.878963859795,128.559691441427
메디팜 서진약국,대구광역시 서구 문화로 197 (평리동),35.8755366240705,128.55402543918
극동약국,대구광역시 서구 북비산로 160 (평리동),35.8785678428397,128.55055822213
유창약국,대구광역시 서구 서대구로 304 (비산동),35.8846923366877,128.557179241042
건강당약국,대구광역시 서구 문화로 300-1 (평리동),35.8756555861011,128.565556448307
우성약국,대구광역시 서구 북비산로 319-1 (비산동),35.8797050227497,128.568294735745
동화약국,대구광역시 서구 평리로55길 17 (평리동),35.8652143630295,128.55363963215
천우당약국,대구광역시 서구 달서로 76 (비산동),35.8689772661137,128.571229969365
보성약국,대구광역시 서구 북비산로74길 46 (비산동),35.8768470465013,128.577418097894
희온누리약국,"대구광역시 서구 평리로 236, 111호 (내당동)",35.8621568323449,128.54974172186
경명약국,대구광역시 서구 달서천로49길 15 (비산동),35.8849035493356,128.559881453583
세일약국,대구광역시 서구 달서천로41길 66-4 (비산동),35.8877298939673,128.56070044586
봉산약국,대구광역시 서구 북비산로74길 8-1 (비산동),35.8785415351339,128.574033902065
일층봄약국,"대구광역시 달서구 달구벌대로 1521, 1층 (용산동)",35.85003,128.5332
에덴시민약국,"대구광역시 달서구 달구벌대로 1672, 1층 (두류동)",35.8542544,128.5490451
건행약국,"대구광역시 달서구 두류공원로28길 26, 1층 (성당동)",35.8484068,128.5676894
즐거운약국,"대구광역시 달서구 달구벌대로205길 12, 1층 (호산동)",35.8534662,128.4790056
삼층약국,"대구광역시 달서구 와룡로 186, 401동 319호 (감삼동, 빌리브 스카이 주상복합)",35.8497406,128.5379347
월배에스약국,"대구광역시 달서구 월배로 147, 1층 (진천동)",35.8163551,128.5301845
한솔약국,"대구광역시 달서구 달구벌대로 1634, 1층 (감삼동)",35.8494773,128.5403023
봄봄약국,"대구광역시 달서구 달구벌대로 1800, 106호 (두류동)",35.8578169,128.563151
봄날약국,"대구광역시 달서구 월배로 203, 1층 (상인동)",35.8185104,128.5359285
고래약국,"대구광역시 달서구 상화북로 186, 1층 (상인동)",35.8129188,128.5462653
대경약국,"대구광역시 달서구 월배로 169, 1층 (진천동)",35.8172281,128.5324293
나은약국,"대구광역시 달서구 명덕로 6, 1층 (두류동)",35.8614932,128.5722895
조은안약국,"대구광역시 달서구 월배로 80, 401동 111호 (진천동, 진천역대성스카이렉스아파트)",35.815279,128.5297679
상인365심야약국,"대구광역시 달서구 상화북로 188, 1층 (상인동)",35.813024,128.5464145
더나은약국,"대구광역시 달서구 조암로 5, 1층 107호 (월성동)",35.821599,128.5207763
마을약국,"대구광역시 달서구 두류남길 78, 1층 (두류동)",35.8573456,128.5701635
더장수약국,"대구광역시 달서구 월배로 487-1, 1층 (송현동)",35.8366755,128.5562924
정담약국,대구광역시 달서구 월배로 62 (진천동),35.8130993,128.5214692
이룸약국,"대구광역시 달서구 와룡로 206, 1층 (죽전동)",35.8510425,128.5375312
계대동문약국,"대구광역시 달서구 계대동문로 2, 1층 (신당동)",35.8551908,128.4924573
새로운약국,"대구광역시 달서구 달구벌대로205길 11, 1층 (호산동)",35.8536177,128.4787134
대형약국,"대구광역시 달서구 달구벌대로205길 16, 1,2층 (호산동)",35.8540186,128.4787339
올약국,"대구광역시 달서구 장기로 193, 1층 (본리동)",35.8431634,128.5392376
강창역약국,"대구광역시 달서구 달구벌대로 지하1014, B2-1호, 강창역약국 (호산동)",35.853091,128.4780687
편안한약국,"대구광역시 달서구 달구벌대로205길 7, 1, 2층 (호산동)",35.8534159,128.4785009
월성사랑약국,"대구광역시 달서구 조암로 32, 신월성미소지움 116호 (월성동)",35.8252236,128.5264538
본리심야약국,"대구광역시 달서구 용산로 52, 1층 (장기동)",35.8421915,128.5308818
태극약국,"대구광역시 달서구 구마로12길 93, 월성주공5단지아파트 107호 (본동)",35.8329425,128.5342069
위드팜새동안약국,"대구광역시 달서구 달구벌대로203길 6, 1,2층 (101~103)호 (호산동)",35.8533086,128.4782766
동산약국,"대구광역시 달서구 야외음악당로39동길 32, 115동 103호 (두류동)",35.8549727,128.5553439
성서수약국,"대구광역시 달서구 달구벌대로 1015, 1, 2층 (호산동)",35.8531487,128.478258
상인역4번출구 무궁화약국,"대구광역시 달서구 월곡로 269, 1층 (상인동)",35.818169,128.5382673
본리사랑약국,"대구광역시 달서구 장기로 217, 1층 (본리동)",35.8399563,128.5382448
봄약국,대구광역시 달서구 구마로 218(송현동),35.8367868,128.5515265
현샘약국,"대구광역시 달서구 달구벌대로251길 33, 1층 (이곡동)",35.8550246,128.504652
해든약국,"대구광역시 달서구 달구벌대로 1726, 1층 103호 (두류동)",35.8585898,128.5625967
시민약국,"대구광역시 달서구 월배로 204, 성모여성병원 1층 (상인동)",35.8181299,128.536056
잘짓는약국,"대구광역시 달서구 달구벌대로 1653, 1층 103호 (감삼동)",35.8529993,128.5461891
포레약국,대구광역시 달서구 달구벌대로 1624(감삼동),35.8524625,128.5441205
초코약국,"대구광역시 달서구 진천로 77, 계룡리슈빌몰 301동 217호 (진천동, 진천역 계룡 리슈빌)",35.8155799,128.522037
부강약국,"대구광역시 달서구 계대동문로 106, 1층 (이곡동)",35.8549353,128.5037232
두류경북약국,"대구광역시 달서구 달구벌대로 지하1760, 대구지하철2호선 두류역 두류지하상가층 B열55, C열55호 (두류동)",35.8570894,128.5558608
도담시청약국,"대구광역시 달서구 달구벌대로 1664, 1층 (감삼동)",35.8539126,128.5479917
민트약국,"대구광역시 달서구 조암로 29, 월성동이래타워 106호 (월성동)",35.8245668,128.5270826
