은행id,은행,지점명,주소,구군,읍면동,위도,경도,복지스코어,교통스코어,전체인구,65세이상,고령인구비율,동별지점수,포화도,클러스터,경로당수,복지회관수,버스정류장수,지하철역수,경유노선합
27,iM뱅크(구 대구은행),대구시산격청사점,대구광역시 북구 산격동 연암로40,북구,산격4동,35.89202721,128.5984093,4.003617955,3.363890275,7202,2283,7.19254552796712,2,1.6353423899680353,0,6,0,10,0,23.364830136143862
28,iM뱅크(구 대구은행),대구혁신도시지점,대구광역시 동구 동내동 동내로88,동구,혁신동,35.87864132,128.7361276,1.221759987,1.0,16805,2165,2.009473321474653,8,1.2894851088025572,3,0,0,8,0,8.82842712474619
29,iM뱅크(구 대구은행),대덕지점,대구광역시 남구 대명동 대명로195,남구,대명1동,35.83994808,128.5787675,3.76162375,4.855210952,9476,2708,6.332558492178609,1,2.989611507253504,6,3,0,12,1,24.673721001122907
30,iM뱅크(구 대구은행),대명동지점,대구광역시 남구 대명동 중앙대로147,남구,대명5동,35.84652354,128.5901812,2.648512546,4.368172298,7424,1545,4.193222733768787,3,1.37570690934657,7,4,0,8,2,17.09393124541988
31,iM뱅크(구 대구은행),대봉브라보점,대구광역시 남구 이천동 명덕로308,남구,이천동,35.85492094,128.6037059,4.958081545,6.023073619,14349,3543,5.262186802703648,2,2.459083784116056,6,9,0,15,2,24.52932938976705
32,iM뱅크(구 대구은행),대신동지점,대구광역시 중구 대신동 국채보상로469,중구,대신동,35.87084657,128.5819624,3.266461408,7.358212771,7382,1671,4.695997811055827,4,1.2306752520285222,4,4,0,14,1,35.919597021583726
33,iM뱅크(구 대구은행),대현점,대구광역시 북구 대현동 대현남로6길20,북구,대현동,35.88042801,128.6085396,4.83385041,4.238714713,15719,4215,5.846994448843874,4,1.7111238320629458,6,8,0,10,0,27.295377485369247
34,iM뱅크(구 대구은행),덕산지점,대구광역시 중구 남산4동 남산로61,중구,남산4동,35.86206057,128.5821275,5.105844646,4.385616117,16180,3398,4.24565612097451,2,2.6701192525202853,7,13,0,9,2,17.172305547637123
35,iM뱅크(구 대구은행),동구청지점,대구광역시 동구 신암동 아양로207,동구,신암5동,35.88681058,128.6360751,5.644833783,6.558024307,7432,2144,6.407141864975195,1,2.518441111384313,6,8,1,11,2,26.932839074070323
36,iM뱅크(구 대구은행),동대구로점,대구광역시 수성구 범어동 동대구로382,수성구,범어2동,35.86453456,128.6274133,3.442523756,1.394707598,14124,2568,3.469035618126398,6,1.3478915662650603,3,6,0,7,0,14.517379810507906
37,iM뱅크(구 대구은행),동북로점,대구광역시 북구 복현2동 동북로287,북구,복현2동,35.8930081,128.6215488,4.63165388,3.846261099,29078,5179,3.366813967036218,1,7.508144824194739,2,6,0,11,0,25.532100828437265
38,iM뱅크(구 대구은행),동산의료원출장소,대구광역시 중구 동산동 달성로56,중구,성내2동,35.87017964,128.5825231,3.283319946,7.6,8426,1319,2.7727177408600783,3,1.4526985493760758,4,4,0,16,1,37.616371648742515
39,iM뱅크(구 대구은행),동서변지점,대구광역시 북구 서변동 호국로209,북구,서변동,35.9204633,128.5989796,3.406644523,3.136331083,33237,5973,3.410689410960546,1,8.236338209982788,2,7,0,14,0,22.342416792648606
40,iM뱅크(구 대구은행),동성로지점,대구광역시 중구 덕산동 달구벌대로2105,중구,성내1동,35.86577266,128.5940347,2.94880074,7.216568805,5094,912,3.3923485079554467,4,1.098821305630686,4,5,0,12,2,29.891650259945585
41,iM뱅크(구 대구은행),만촌동지점,대구광역시 수성구 범어동 달구벌대로2503,수성구,범어2동,35.85925192,128.6365778,2.542470318,4.62923775,14124,2568,3.469035618126398,6,1.3478915662650603,7,3,0,11,1,23.65843343884431
42,iM뱅크(구 대구은행),만촌역지점,대구광역시 수성구 만촌동 달구벌대로2626,수성구,만촌3동,35.85666764,128.6496672,2.477292835,8.8,21282,2545,1.754786176200554,2,3.2581601917875584,4,3,0,13,2,40.372795717135
43,iM뱅크(구 대구은행),메트로팔레스점,대구광역시 수성구 만촌동 동원로135,수성구,만촌1동,35.8691799,128.633469,3.261143224,2.411224346,20597,4732,4.789122700150851,3,2.387893410453037,7,7,0,12,0,19.084544420890506
44,iM뱅크(구 대구은행),목련시장점,대구광역시 수성구 지산동 용학로206,수성구,지산2동,35.82144877,128.6308973,5.270487113,5.244219458,18475,4718,5.49510985719283,2,2.934633943939021,6,15,0,15,1,26.421518944375908
45,iM뱅크(구 대구은행),반야월지점,대구광역시 동구 신서동 안심로401,동구,안심4동,35.86952467,128.7279048,3.963925379,7.559042012,26642,5255,3.893972470407302,3,2.8523789034454143,4,9,0,20,1,36.821913883428046
46,iM뱅크(구 대구은행),방촌지점,대구광역시 동구 방촌동 동촌로274,동구,방촌동,35.87955908,128.6695176,4.297406805,6.210118995,17041,5447,7.265419332839432,1,4.73344910253258,6,8,0,13,1,30.761262671908092
47,iM뱅크(구 대구은행),범물1동점,대구광역시 수성구 범물1동 지범로39길12,수성구,범물1동,35.82056739,128.6432063,8.303953803,8.733041266,9928,4159,10.0,2,1.949532825178264,5,18,0,14,2,36.70509368796857
48,iM뱅크(구 대구은행),범어4동점,대구광역시 수성구 범어동 달구벌대로496길26,수성구,범어4동,35.85669889,128.6338649,2.885078663,4.094042836,18678,2097,1.55333262635381,2,2.958031104007868,7,4,0,7,1,21.25382645567628
49,iM뱅크(구 대구은행),범어금융센터,대구광역시 수성구 범어동 달구벌대로2387,수성구,범어3동,35.85966253,128.6236586,4.317393654,4.620328918,17294,1956,1.5762418518632444,3,2.1340976150264326,7,9,0,8,1,23.618406451702462
50,iM뱅크(구 대구은행),법원지점,대구광역시 수성구 범어동 동대구로364,수성구,범어2동,35.86229387,128.6289029,2.914587408,1.914866401,14124,2568,3.469035618126398,6,1.3478915662650603,3,3,0,6,0,16.85443021411382
51,iM뱅크(구 대구은행),복현지점,대구광역시 북구 산격3동 동북로174,북구,산격3동,35.89876955,128.6116674,6.996169271,6.036136874,8185,1896,4.841488039151182,1,2.692018072289157,1,8,1,14,0,35.37111544056593
52,iM뱅크(구 대구은행),본리동지점,대구광역시 달서구 본동 구마로180,달서구,본동,35.83690314,128.5474129,5.515237804,5.673003521,11812,3068,5.615310833578877,2,2.1666769117285467,6,10,0,19,0,33.73957341090969
53,iM뱅크(구 대구은행),본점PB센터,대구광역시 수성구 수성동2가 달구벌대로2310,수성구,수성2.3가동,35.85933467,128.6149707,7.203646989,5.983127212,10377,2099,4.032506893253274,5,1.283670395869191,1,17,0,16,1,29.741398670382885
54,iM뱅크(구 대구은행),본점영업부,대구광역시 수성구 수성동2가 달구벌대로2310,수성구,수성2.3가동,35.85933467,128.6149707,7.203646989,5.983127212,10377,2099,4.032506893253274,5,1.283670395869191,1,17,0,16,1,29.741398670382885
55,iM뱅크(구 대구은행),봉덕동지점,대구광역시 남구 봉덕동 대봉로60,남구,봉덕1동,35.84403779,128.6042007,4.365633393,5.394591634,7906,2480,7.101384762285553,5,1.169750430292599,6,8,0,25,0,32.488681162590574
56,iM뱅크(구 대구은행),북구청지점,대구광역시 북구 침산동 옥산로65,북구,침산3동,35.8856843,128.5827802,5.516231999,6.538128989,18019,3852,4.349281671218559,2,2.88207677649373,1,9,0,14,1,32.23499700534486
57,iM뱅크(구 대구은행),북비산지점,대구광역시 서구 비산동 달서로183,서구,비산6동,35.87870316,128.570933,4.9058563,4.692925563,6522,2196,7.735500258150351,1,2.308673469387755,6,9,0,16,0,29.336126665353277
58,iM뱅크(구 대구은행),북성로지점,대구광역시 중구 수창동 서성로81,중구,성내3동,35.87402224,128.5874167,3.007993133,6.4,13443,1402,1.3335498031782604,1,3.904060118023113,4,3,0,17,0,40.02079287125003
59,iM뱅크(구 대구은행),삼덕금융센터,대구광역시 중구 삼덕동2가 달구벌대로2195,중구,삼덕동,35.86344155,128.6034408,3.862307855,5.828330668,7352,959,2.053821207914343,2,1.6526309318908288,4,6,0,14,1,29.045904672075125
60,iM뱅크(구 대구은행),상수도사업본부출장소,대구광역시 남구 이천동 명덕로52길45,남구,이천동,35.85445554,128.5961119,4.310548069,4.73592115,14349,3543,5.262186802703648,2,2.459083784116056,6,8,0,13,1,24.1377572167371
61,iM뱅크(구 대구은행),상인역지점,대구광역시 달서구 상인동 월곡로266,달서구,상인1동,35.81812556,128.5389861,5.186609016,6.308511112,32705,6628,4.043136210795159,5,2.3130532333415297,1,8,0,13,1,31.20333408156308
62,iM뱅크(구 대구은행),상인점,대구광역시 달서구 상인동 상인서로51,달서구,상인1동,35.81455592,128.5437622,6.083988092,4.456415955,32705,6628,4.043136210795159,5,2.3130532333415297,1,16,0,17,0,28.273499498820154
63,iM뱅크(구 대구은행),서구청출장소,대구광역시 서구 평리동 국채보상로257,서구,평리3동,35.87233875,128.5592792,4.671776492,4.283020218,12342,3058,5.285756718882777,1,3.650264322596509,6,4,0,15,0,27.494440152920056
64,iM뱅크(구 대구은행),서대구지점,대구광역시 서구 평리동 서대구로78,서구,평리4동,35.86491706,128.5562578,4.852285418,1.769107638,15549,4081,5.690365122874559,4,1.7013269916400295,0,6,0,9,0,16.199542565312125
65,iM뱅크(구 대구은행),서부지원지점,대구광역시 달서구 용산동 장산남로30,달서구,용산1동,35.85306327,128.5275686,5.12439028,5.21983339,28582,4872,3.1560851911731422,4,2.452398881239243,1,9,0,17,1,26.311953423370984
66,iM뱅크(구 대구은행),서부차량등록출장소,대구광역시 달서구 이곡동 성서로400,달서구,이곡1동,35.85330369,128.5078615,4.450789475,7.366059796,20168,3479,3.2123897042684746,3,2.354929923853578,4,8,0,17,1,35.95485335720761
67,iM뱅크(구 대구은행),성당뉴타운지점,대구광역시 달서구 본리동 당산로39,달서구,본리동,35.8409457,128.5444515,5.050044882,5.941611614,22594,3536,2.7716832147692827,2,3.409377305138923,1,12,0,19,0,34.94641764370033
68,iM뱅크(구 대구은행),성당시장지점,대구광역시 남구 대명동 대경길7,남구,대명4동,35.84983789,128.5724,2.966207737,2.78223426,9402,3085,7.499026808377577,3,1.5276924022621097,0,5,0,10,0,20.751475491055913
69,iM뱅크(구 대구은행),성명지점,대구광역시 남구 대명동 대명로23,남구,대명10동,35.83854081,128.5600256,3.27505024,8.8,8096,2676,7.565464174138716,2,1.738382099827883,5,7,0,17,2,37.54369863870215
70,iM뱅크(구 대구은행),성북교점,대구광역시 북구 산격1동 연암로117,북구,산격1동,35.89502176,128.5942498,4.954888662,3.625443565,7669,3162,9.818010181601815,1,2.57307290386034,0,6,0,12,0,24.539977453799835
71,iM뱅크(구 대구은행),성서3단지영업부,대구광역시 달서구 호산동 성서공단북로132,달서구,신당동,35.84413241,128.4872215,1.062143465,1.0,28366,5444,3.7472918008807294,6,1.8950547087072784,3,0,0,2,0,4.0
