은행id,은행,지점명,주소,구군,읍면동,위도,경도,복지스코어,교통스코어,전체인구,65세이상,동별지점수,클러스터,고령인구비율,포화도
221,하나은행,대구성서금융센터,대구광역시 달서구 성서로 399,달서구,이곡2동,35.85318837,128.506782,4.191126121,7.457243278,14451,3260,8,4,22.558992457269394,1806.375
222,하나은행,대구죽전,대구광역시 달서구 달구벌대로 1542,달서구,감삼동,35.84956319,128.5357182,3.961981366,4.742666266,30856,4806,3,7,15.575576873217525,10285.333333333334
223,하나은행,대구중앙,대구광역시 중구 달구벌대로 2108 하나은행(대구중앙지점),중구,남산1동,35.86502935,128.5941603,3.145181177,7.661710084,5097,1033,2,4,20.26682362173828,2548.5
224,하나은행,대구혁신도시,대구광역시 동구 이노밸리로 309,동구,혁신동,35.8782852,128.7310092,1.591350169,1.74051293,16805,2165,8,3,12.883070514727759,2100.625
225,하나은행,가스공사,대구광역시 동구 첨단로 120 한국가스공사,동구,혁신동,35.88680623,128.7298509,1.026263956,1.0,16805,2165,8,3,12.883070514727759,2100.625
226,하나은행,달성,대구광역시 달성군 논공중앙로34길 1,달성군,논공읍,35.72969159,128.4540414,1.855291421,1.0,4224,1380,5,0,32.67045454545455,844.8
227,하나은행,동성로,대구광역시 중구 중앙대로 394,중구,성내1동,35.86832614,128.593973,2.362822421,10.0,5094,912,4,4,17.90341578327444,1273.5
228,하나은행,범어역,대구광역시 수성구 동대구로 330,수성구,범어2동,35.85972754,128.6273453,3.279046576,4.779905099,14124,2568,6,7,18.181818181818183,2354.0
229,하나은행,본리동,대구광역시 달서구 구마로 184,달서구,본동,35.83684663,128.5478683,5.391783527,5.064929226,11812,3068,2,6,25.973586183542157,5906.0
230,하나은행,봉덕,대구광역시 남구 중앙대로 146,남구,봉덕1동,35.84617468,128.5908774,2.653634624,4.368172298,7906,2480,5,0,31.368580824690106,1581.2
231,하나은행,상인동,대구광역시 달서구 월배로 219 상인동 CENTRO TOWER,달서구,상인1동,35.81910471,128.5370819,5.140555366,5.93582664,32705,6628,5,1,20.2660143708913,6541.0
232,하나은행,성서공단,대구광역시 달서구 달구벌대로 1130,달서구,신당동,35.85098403,128.4911764,2.004564879,4.208169246,28366,5444,6,7,19.19199041105549,4727.666666666667
233,하나은행,수성동,대구광역시 수성구 명덕로 368 우방한가람타운,수성구,수성1가동,35.85433928,128.6107288,6.479364599,6.108762122,17148,4021,2,1,23.448798693725216,8574.0
234,하나은행,시지,대구광역시 수성구 달구벌대로 3188 아레나스포츠센터,수성구,고산1동,35.84032058,128.7052157,6.83811181,4.288666281,31453,5172,4,1,16.44358248815693,7863.25
235,하나은행,진천동,대구광역시 달서구 월배로 80,달서구,진천동,35.81365256,128.5239231,6.317699433,4.249665451,49953,9711,5,1,19.44027385742598,9990.6
236,하나은행,황금동,대구광역시 수성구 청수로 214,수성구,황금1동,35.8391364,128.6305135,5.621830989,1.43467208,21494,3483,2,7,16.204522192239697,10747.0
